from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
SYBASE INC (De-listed 07/2010),29753,New York State Bar Association (NYSBA),256477,Larry Langs,745444,Business Development Manager (Non-Brd),1995-01-01,1996-01-01,Member,,
Kiwibox.Com Inc (Magnitude Information Systems Inc prior to 12/2009),19447,New York State Bar Association (NYSBA),256477,Joe Tomasek,755424,General Counsel (Brd) (ED),1999-02-11,2000-02-11,Member,,
ITT INC (ITT Corp prior to 05/2016),17153,New York State Bar Association (NYSBA),256477,Ann Davidson,746794,First Vice President (Non-Brd),2008-10-08,2011-10-31,Member,,
Hellman & Friedman LLC,43479,New York State Bar Association (NYSBA),256477,Arrie Park,746574,MD/General Counsel/Chief Legal Officer (Brd) (ED),2004-02-01,2018-01-01,Member,,
Hudson Valley Holding Corp (Listed 09/2009),1211616,New York State Bar Association (NYSBA),256477,James Coogan,753562,Director -  SD (Brd) (SD),,,Committee Member,,
Wachtell Lipton Rosen & Katz,93992,New York State Bar Association (NYSBA),256477,Arrie Park,746574,Associate (Non-Brd),,2004-02-01,Member,,
Sino United Worldwide Consolidated Ltd (AJ Greentech Holdings Ltd prior to 07/2017),1210495,New York State Bar Association (NYSBA),256477,Kwajo Sarfoh,752826,President/CEO (Brd) (ED),2006-08-30,2006-12-22,Member,,
Global Gold Corporation (GGC),1016723,New York State Bar Association (NYSBA),256477,Professor Van Krikorian,750821,Chairman/CEO/General Counsel (Brd) (ED),2007-01-11,,Member,,
Hellman & Friedman LLC,43479,New York State Bar Association (NYSBA),256477,Arrie Park,746574,Partner/Chief Legal Officer (Brd) (ED),2018-01-01,,Member,,
First Real Estate Investment Trust of New Jersey,1001725,New York State Bar Association (NYSBA),256477,John Aiello,751301,Executive Secretary (Brd) (ED),2015-12-03,,Member,,
Paul Weiss Rifkind Wharton & Garrison LLP,54197,New York State Bar Association (NYSBA),256477,Lori Forlano,753615,Associate (Non-Brd),1998-01-01,2000-01-01,Member,,
ES Bancshares Inc,1205427,New York State Bar Association (NYSBA),256477,Andrew Finkelstein,747067,Independent Director (Brd) (SD),2006-08-15,,Member,,
HUDSON VALLEY HOLDING CORP (De-listed 06/2015),15186,New York State Bar Association (NYSBA),256477,Carl Finger,754206,Director - Business Development (Non-Brd),2009-09-21,2015-06-30,Member,,
Sino United Worldwide Consolidated Ltd (AJ Greentech Holdings Ltd prior to 07/2017),1210495,New York State Bar Association (NYSBA),256477,Kwajo Sarfoh,752826,Secretary (Brd) (ED),2006-12-22,2008-12-26,Member,,
Hudson Valley Holding Corp (Listed 09/2009),1211616,New York State Bar Association (NYSBA),256477,Sheldon Glassman,754198,Executive Officer (Non-Brd),2008-03-20,2009-09-21,Member,,
Kiwibox.Com Inc (Magnitude Information Systems Inc prior to 12/2009),19447,New York State Bar Association (NYSBA),256477,Joe Tomasek,755424,General Counsel (Brd) (ED),2000-02-11,2016-07-31,Member,,
HUDSON VALLEY HOLDING CORP (De-listed 06/2015),15186,New York State Bar Association (NYSBA),256477,Mary-Jane Foster,753598,Independent Director (Brd) (SD),2009-09-21,2015-06-30,Member,,
Kiwibox.Com Inc (Magnitude Information Systems Inc prior to 12/2009),19447,New York State Bar Association (NYSBA),256477,Joe Tomasek,755424,General Counsel (Non-Brd),2000-02-11,2016-07-31,Member,,
EXELIS INC (De-listed 05/2015),1731105,New York State Bar Association (NYSBA),256477,Ann Davidson,746794,Senior VP/Chief Legal Officer/Secretary (Non-Brd),2011-10-31,2015-05-29,Member,,
First Real Estate Investment Trust of New Jersey,1001725,New York State Bar Association (NYSBA),256477,John Aiello,751301,Executive Secretary (Non-Brd),2002-08-01,2015-12-03,Member,,
HUDSON VALLEY HOLDING CORP (De-listed 06/2015),15186,New York State Bar Association (NYSBA),256477,Sheldon Glassman,754198,Director -  Non-Brd (Non-Brd),,,Member,,
Wilson Sonsini Goodrich & Rosati PC,564292,New York State Bar Association (NYSBA),256477,Stephen Diamond,756895,Associate (Non-Brd),1995-01-01,1999-01-01,Member,,
JPMORGAN CHASE & CO,17528,New York State Bar Association (NYSBA),256477,Jeffrey Fahs,750226,Head of Compliance (Non-Brd),2017-06-01,,Member,,
Veronis Suhler Stevenson Partners LLC,68226,New York State Bar Association (NYSBA),256477,Bert Abrams,751133,Senior Advisor (Non-Brd),2005-11-01,2009-01-01,Member,,
Veronis Suhler Stevenson Partners LLC,68226,New York State Bar Association (NYSBA),256477,Bert Abrams,751133,Senior Advisor/MD (Brd) (ED),2012-01-01,2014-01-01,Member,,
Mandalay Digital Group Inc (NeuMedia Inc prior to 02/2012) (Listed 06/2013),9985,New York State Bar Association (NYSBA),256477,Peter Guber,751734,Chairman (Brd) (SD),2012-01-04,2013-06-12,Member,,
Midwest Energy Emissions Corp (China Youth Media Inc prior to 10/2011),1203550,New York State Bar Association (NYSBA),256477,David Kaye,745289,Independent Director (Brd) (SD),2006-03-26,2011-06-21,Member,,
Kiwibox.Com Inc (Magnitude Information Systems Inc prior to 12/2009),19447,New York State Bar Association (NYSBA),256477,Joe Tomasek,755424,General Counsel (Brd) (ED),2016-07-31,,Member,,
Circle Entertainment Inc (FX Real Estate and Entertainment Inc prior to 01/2011),1388370,New York State Bar Association (NYSBA),256477,David Ledy,790358,Independent Director (Brd) (SD),2009-05-04,2009-08-04,Member,,
NORTHFIELD BANCORP INC,1233828,New York State Bar Association (NYSBA),256477,John Connors Jr,791136,Lead Independent Director (Brd) (SD),2016-06-01,,Member,,
JOHN HANCOCK FINANCIAL SERVICES INC (De-listed 04/2004),17470,New York State Bar Association (NYSBA),256477,Beth Bloom,791123,Attorney (Non-Brd),,2000-01-01,Member,,
HIGHLAND DISTRESSED OPPORTUNITIES INC (De-listed 06/2009),1280165,New York State Bar Association (NYSBA),256477,Michael Colvin,790366,Chief Compliance Officer (Non-Brd),2007-07-01,2009-06-15,Member,,
Cleary Gottlieb Steen & Hamilton LLP,39236,New York State Bar Association (NYSBA),256477,James Munsell,772927,Senior Counsel (Non-Brd),2001-01-01,,Member,,
Reed Smith LLP (Reed Smith Shaw & McClay LLP prior to 2000),465997,New York State Bar Association (NYSBA),256477,Alan Bolden,775952,Partner (Non-Brd),2008-01-01,,Member,,
Circle Entertainment Inc (FX Real Estate and Entertainment Inc prior to 01/2011),1388370,New York State Bar Association (NYSBA),256477,David Ledy,790358,Independent Director (Brd) (SD),2012-08-07,,Member,,
Drinker Biddle & Reath LLP,862984,New York State Bar Association (NYSBA),256477,Bryan Bloom,790364,Partner (Non-Brd),2018-01-01,,Member,,
NORTHFIELD BANCORP INC,1233828,New York State Bar Association (NYSBA),256477,John Connors Jr,791136,Independent Director (Brd) (SD),2007-11-08,2016-06-01,Member,,
Drinker Biddle & Reath LLP,862984,New York State Bar Association (NYSBA),256477,Bryan Bloom,790364,Counsel (Non-Brd),2016-03-01,2018-01-01,Member,,
SLM CORP (SALLIE MAE),28243,New York State Bar Association (NYSBA),256477,Shelly Repp,775943,Various Positions (Non-Brd),1981-06-01,1999-08-01,Member,,
PEOPLE'S UNITED FINANCIAL INC,1013530,New York State Bar Association (NYSBA),256477,Robert Trautmann,773274,Senior Executive VP/General Counsel (Non-Brd),2010-07-19,2012-01-01,Member,,
PEOPLE'S UNITED FINANCIAL INC,1013530,New York State Bar Association (NYSBA),256477,Robert Trautmann,773274,Senior Executive VP/General Counsel/Secretary (Non-Brd),2012-01-01,2018-01-01,Member,,
Shoshone Silver/Gold Mining Co (Shoshone Silver Mining Co Inc prior to 12/2011),27842,New York State Bar Association (NYSBA),256477,Ed Lehman,880684,Director -  SD (Brd) (SD),,,Member,,
Jackson Lewis PC (Formerly known as Jackson Lewis Schnitzler & Krupman LLP),1471231,New York State Bar Association (NYSBA),256477,Pat Vaccaro,871990,Chairman/Managing Partner (Brd) (ED),2006-06-01,2012-01-01,Member,,
Jackson Lewis PC (Formerly known as Jackson Lewis Schnitzler & Krupman LLP),1471231,New York State Bar Association (NYSBA),256477,Pat Vaccaro,871990,Vice Chairman (Brd) (ED),,2006-06-01,Member,,
Merscorp Holdings Inc,1928037,New York State Bar Association (NYSBA),256477,Mike Skalka,886868,Executive VP/Chief Legal Officer/Secretary (Non-Brd),2012-04-01,2014-01-01,Member,,
CA INC (CA Technologies) (De-listed 11/2018),7569,New York State Bar Association (NYSBA),256477,Joel Katz,880571,Senior VP/Associate General Counsel (Non-Brd),2018-05-01,2018-11-05,Member,,
SBA COMMUNICATIONS CORP,27160,New York State Bar Association (NYSBA),256477,Neil Seidman,882219,Vice President - Mergers & Acquisitions (Non-Brd),2009-01-01,2014-01-01,Member,,
METLIFE INC,20426,New York State Bar Association (NYSBA),256477,Mike Zarcone,871843,VP/Secretary (Non-Brd),1998-01-01,1999-01-01,Member,,
COMSCORE INC (De-listed 02/2017),424056,New York State Bar Association (NYSBA),256477,Christiana Lin,861728,Executive VP/Chief Privacy Officer (Non-Brd),2009-08-01,2017-01-23,Member,,
COMSCORE INC (De-listed 02/2017),424056,New York State Bar Association (NYSBA),256477,Christiana Lin,861728,Consultant (Non-Brd),2017-02-02,2017-02-08,Member,,
HURON CONSULTING GROUP INC,460902,New York State Bar Association (NYSBA),256477,Leah Guidry,881851,MD (Non-Brd),2008-12-23,,Member,,
Milbank LLP (Milbank Tweed Hadley & McCloy LLP prior to 02/2019),37812,New York State Bar Association (NYSBA),256477,Gene Price,871654,Attorney (Non-Brd),1983-01-01,1988-01-01,Member,,
Archer & Greiner PC,485550,New York State Bar Association (NYSBA),256477,Henry Boenning Jr,871708,Partner (Non-Brd),1993-02-01,,Member,,
METLIFE INC,20426,New York State Bar Association (NYSBA),256477,Mike Zarcone,871843,Head of Government Relations (Non-Brd),1999-01-01,2002-09-01,Member,,
TRIPADVISOR INC,1744572,New York State Bar Association (NYSBA),256477,Linda Frazier,883755,VP/Associate General Counsel/Assistant Secretary (Non-Brd),2013-10-01,,Member,,
Carlton Fields Jorden Burt PA (Carlton Fields PA prior to 01/2014),2345347,New York State Bar Association (NYSBA),256477,Franck Chantayan,874977,Of Counsel (Non-Brd),2009-03-01,2011-02-01,Member,,
IEC ELECTRONICS CORP,15505,New York State Bar Association (NYSBA),256477,Martin Weingarten,882945,Corporate Secretary (Non-Brd),,2012-01-01,Member,,
Burr & Forman LLP,461510,New York State Bar Association (NYSBA),256477,Gene Price,871654,Partner (Non-Brd),1990-01-01,,Member,,
Kenyon & Kenyon LLP (Ceased Trading 09/2016),484584,New York State Bar Association (NYSBA),256477,Russ Russ Kenyon,872509,Attorney (Non-Brd),1993-08-01,2016-09-01,Member,,
MASTERCARD INC,483173,New York State Bar Association (NYSBA),256477,Shawn Miles,871959,Executive VP (Non-Brd),2015-08-01,2019-01-01,Member,,
Domark International Inc (DoMar Exotic Furnishings Inc prior to 06/2008),1204555,New York State Bar Association (NYSBA),256477,Gregg Jaclin,878212,Director -  SD (Brd) (SD),,,Member,,
Bond Schoeneck & King PLLC,596164,New York State Bar Association (NYSBA),256477,Jim Dati,870647,Member/Partner (Non-Brd),1987-01-01,,Member,,
Cole Schotz PC (Cole Schotz Meisel Forman & Leonard PA prior to 01/2015),2405301,New York State Bar Association (NYSBA),256477,Franck Chantayan,874977,Associate (Non-Brd),2002-01-01,2004-01-01,Member,,
HSN INC (De-listed 12/2017),592339,New York State Bar Association (NYSBA),256477,Linda Frazier,883755,VP/Assistant Secretary (Non-Brd),2008-08-20,2013-10-01,Member,,
HARRIS INTERACTIVE INC (De-listed 02/2014),14359,New York State Bar Association (NYSBA),256477,Marc Levin,880614,Executive VP/General Counsel/Corporate Secretary (Non-Brd),2010-04-01,2011-06-01,Member,,
Carlton Fields Jorden Burt PA (Carlton Fields PA prior to 01/2014),2345347,New York State Bar Association (NYSBA),256477,Franck Chantayan,874977,Shareholder (Non-Brd),2011-02-01,2012-11-01,Member,,
Jackson Lewis PC (Formerly known as Jackson Lewis Schnitzler & Krupman LLP),1471231,New York State Bar Association (NYSBA),256477,Pat Vaccaro,871990,Principal (Non-Brd),2012-01-01,2016-01-01,Member,,
Dinsmore & Shohl LLP (Dinsmore & Shohl PLL prior to 10/1996),82414,New York State Bar Association (NYSBA),256477,Laura Holoubek,877479,Partner (Non-Brd),2011-10-01,,Member,,
MASTERCARD INC,483173,New York State Bar Association (NYSBA),256477,Shawn Miles,871959,Group Head (Non-Brd),2008-01-01,2011-01-01,Member,,
MASTERCARD INC,483173,New York State Bar Association (NYSBA),256477,Shawn Miles,871959,Senior VP (Non-Brd),2011-01-01,2015-08-01,Member,,
MASTERCARD INC,483173,New York State Bar Association (NYSBA),256477,Shawn Miles,871959,Various Positions (Non-Brd),1996-01-01,2008-01-01,Member,,
SBA COMMUNICATIONS CORP,27160,New York State Bar Association (NYSBA),256477,Neil Seidman,882219,Senior VP - Mergers & Acquisitions (Non-Brd),2014-01-01,,Member,,
METLIFE INC,20426,New York State Bar Association (NYSBA),256477,Mike Zarcone,871843,Assistant VP (Non-Brd),1994-01-01,1995-01-01,Member,,
METLIFE INC,20426,New York State Bar Association (NYSBA),256477,Mike Zarcone,871843,Chief of Staff (Non-Brd),2013-07-01,2014-11-05,Member,,
METLIFE INC,20426,New York State Bar Association (NYSBA),256477,Mike Zarcone,871843,Counsel (Non-Brd),1991-01-01,1994-01-01,Member,,
METLIFE INC,20426,New York State Bar Association (NYSBA),256477,Mike Zarcone,871843,Executive VP (Non-Brd),2014-11-05,,Member,,
METLIFE INC,20426,New York State Bar Association (NYSBA),256477,Mike Zarcone,871843,Head of Government Relations (Non-Brd),2002-09-01,2004-01-01,Member,,
METLIFE INC,20426,New York State Bar Association (NYSBA),256477,Mike Zarcone,871843,Senior VP - Government Relations (Non-Brd),2004-01-01,2013-07-01,Member,,
