from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date 
Fasken Martineau DuMoulin LLP,605224,New York State Bar Association (NYSBA),256477,Chris Semerjian,1910772,Partner (Non-Brd),2017-02-02,,Member,,
Milbank LLP (Milbank Tweed Hadley & McCloy LLP prior to 02/2019),37812,New York State Bar Association (NYSBA),256477,David Stoll,1931280,Partner (Non-Brd),2017-01-01,,Committee Member,,
Schnader Harrison Segal & Lewis LLP,78842,New York State Bar Association (NYSBA),256477,Cindy Murray,1923736,Associate (Non-Brd),2008-09-18,2014-01-01,Member,,
Holland & Knight LLP,464601,New York State Bar Association (NYSBA),256477,Jeff Arnold,1915164,Partner (Non-Brd),2017-07-17,,Member,,
Katten Muchin Rosenman LLP (Katten Muchin Zavis Rosenman LLP prior to 05/2005),783752,New York State Bar Association (NYSBA),256477,Stevie Conlon,1924676,Tax Partner (Non-Brd),1999-05-01,2002-12-01,Committee Member,,
Latham & Watkins LLP,482007,New York State Bar Association (NYSBA),256477,Jeff Peters,1907211,Attorney (Non-Brd),2002-08-01,2005-04-01,Member,,
Sunergy Inc,1222189,New York State Bar Association (NYSBA),256477,Arkady Frekhtman,1921055,Advisory Board Member (Non-Brd),2014-09-02,,Member,,
Kelley Drye & Warren LLP,1142330,New York State Bar Association (NYSBA),256477,Jaimie Nawaday,1924219,Partner (Non-Brd),2017-08-14,,Member,,
Quinn Emanuel Urquhart & Sullivan LLP,1732871,New York State Bar Association (NYSBA),256477,Jaimie Nawaday,1924219,Associate (Non-Brd),2006-05-01,2010-03-01,Member,,
GoodData Corporation,1990170,New York State Bar Association (NYSBA),256477,Albert Chin,1924203,General Counsel/Corporate Secretary (Non-Brd),2014-11-01,2018-10-01,Member,,
Personal Capital Corporation (SafeCorp Financial Corp prior to 06/2010),1682403,New York State Bar Association (NYSBA),256477,Ian Cole,1910067,Vice President (Non-Brd),2017-03-16,,Member,,
Marshall Dennehey Warner Coleman & Goggin PC (MDWC&G),534825,New York State Bar Association (NYSBA),256477,Claudia Costa,1925502,Special Counsel (Non-Brd),2014-06-01,2016-05-01,Executive Committee Member,,
King & Spalding LLP,76255,New York State Bar Association (NYSBA),256477,Cindy Murray,1923736,Associate (Non-Brd),2003-01-01,2007-01-01,Member,,
Duane Morris LLP (Formerly known as Duane Morris & Heckscher LLP),91111,New York State Bar Association (NYSBA),256477,Jeff Arnold,1915164,Partner (Non-Brd),2007-12-01,2010-01-01,Member,,
Morrison Cohen LLP,1727260,New York State Bar Association (NYSBA),256477,Kristin Roy,1923830,Senior Counsel (Non-Brd),,2006-12-01,Member,,
HANDY & HARMAN LTD (WHX Corp prior to 01/2011) (De-listed 10/2017),33461,New York State Bar Association (NYSBA),256477,Michael Macmanus,1900198,Deputy General Counsel (Non-Brd),2010-04-01,2011-10-01,Member,,
Latham & Watkins LLP,482007,New York State Bar Association (NYSBA),256477,Michael Macmanus,1900198,Associate (Non-Brd),2000-05-01,2005-10-01,Member,,
Schnader Harrison Segal & Lewis LLP,78842,New York State Bar Association (NYSBA),256477,Cindy Murray,1923736,Partner (Non-Brd),2014-01-01,,Member,,
Proskauer Rose LLP (Formerly known as Proskauer Rose Goetz & Mendelsohn LLP),89727,New York State Bar Association (NYSBA),256477,Alex Kaplan,1908063,Associate (Non-Brd),2000-01-01,2014-11-01,Member,,
Paul Hastings LLP (Paul Hastings Janofsky & Walker LLP prior to 07/2011),50924,New York State Bar Association (NYSBA),256477,Bob Boresta,1923311,Counsel (Non-Brd),1995-07-01,2004-08-01,Member,,
Proskauer Rose LLP (Formerly known as Proskauer Rose Goetz & Mendelsohn LLP),89727,New York State Bar Association (NYSBA),256477,Alex Kaplan,1908063,Partner (Non-Brd),2014-11-01,,Member,,
Akin Gump Strauss Hauer & Feld LLP,51437,New York State Bar Association (NYSBA),256477,Olivier De Moor,1927649,Partner (Non-Brd),2017-01-01,,Committee Member,,
Sidley Austin LLP (Sidley Austin Brown & Wood LLP prior to 01/2006),836052,New York State Bar Association (NYSBA),256477,Leslie Regenbaum,1905539,Associate (Non-Brd),2012-05-01,2012-10-01,Member,,
Gordon Rees Scully Mansukhani LLP (Gordon & Rees LLP prior to 2014),1499048,New York State Bar Association (NYSBA),256477,Mark Beckman,1925477,Partner (Non-Brd),2017-01-01,,Member,,
McDermott Will & Emery LLP,639301,New York State Bar Association (NYSBA),256477,Armando Ramirez,1925636,Partner (Non-Brd),2017-06-22,,Member,,
Arnall Golden Gregory LLP (AGG),92222,New York State Bar Association (NYSBA),256477,Damian Hovancik,1922766,Partner (Non-Brd),2013-01-01,,Member,,
Baker & McKenzie LLP (Baker McKenzie),732656,New York State Bar Association (NYSBA),256477,Akifusa Takada,1924608,Partner (Non-Brd),,,Member,,
Proskauer Rose LLP (Formerly known as Proskauer Rose Goetz & Mendelsohn LLP),89727,New York State Bar Association (NYSBA),256477,Peter Sherwin,1908081,Partner (Non-Brd),2001-11-01,,Member,,
Kaufman Hall & Associates LLC,2304534,New York State Bar Association (NYSBA),256477,Hector Torres,1906059,Vice President - Mergers & Acquisitions (Non-Brd),2017-01-01,2017-10-01,Member,,
Epstein Becker & Green PC,573360,New York State Bar Association (NYSBA),256477,Leonard Lipsky,1901023,Member (Non-Brd),2013-10-01,2017-01-01,Member,,
Fried Frank Harris Shriver & Jacobson LLP,48048,New York State Bar Association (NYSBA),256477,Ilan Katz,1929321,Associate (Non-Brd),2007-06-01,2011-02-01,Member,,
CABOT CORP,5462,New York State Bar Association (NYSBA),256477,Scott Squillace,1902836,Counsel (Non-Brd),2001-07-01,2007-09-01,Member,,
Skadden Arps Slate Meagher & Flom LLP,76614,New York State Bar Association (NYSBA),256477,Scott Squillace,1902836,Attorney (Non-Brd),1987-09-01,1993-06-01,Member,,
Levi Strauss & Co (Listed 03/2019),109807,New York State Bar Association (NYSBA),256477,Scott Squillace,1902836,General Counsel (Non-Brd),1993-07-01,1999-11-01,Member,,
ROYAL BANK OF CANADA (RBC),26620,New York State Bar Association (NYSBA),256477,Felix Mazer,1902818,Director -  Non-Brd (Non-Brd),,,Member,,
Paul Weiss Rifkind Wharton & Garrison LLP,54197,New York State Bar Association (NYSBA),256477,Rob Fleder,1930371,Of Counsel (Non-Brd),2019-01-01,,Executive Committee Member,,
White & Case LLP,48680,New York State Bar Association (NYSBA),256477,Julia Hoey,1904402,Manager - Development (Non-Brd),2004-03-01,2008-05-01,Member,,
Paul Weiss Rifkind Wharton & Garrison LLP,54197,New York State Bar Association (NYSBA),256477,David Mayo,1930400,Partner (Non-Brd),,,Executive Committee Member,,
Katten Muchin Rosenman LLP (Katten Muchin Zavis Rosenman LLP prior to 05/2005),783752,New York State Bar Association (NYSBA),256477,Jonathan Rotenberg,1921534,Partner (Non-Brd),2017-08-01,,Member,,
Proskauer Rose LLP (Formerly known as Proskauer Rose Goetz & Mendelsohn LLP),89727,New York State Bar Association (NYSBA),256477,Charles Sims,1908082,Associate (Non-Brd),,2003-01-01,Committee Member,,
Paul Hastings LLP (Paul Hastings Janofsky & Walker LLP prior to 07/2011),50924,New York State Bar Association (NYSBA),256477,Jim Koenig,1902264,Of Counsel (Non-Brd),2015-09-01,2017-01-01,Member,,
K2 Intelligence LLC (Formerly known as K2 Global Consulting NA LLC),1971692,New York State Bar Association (NYSBA),256477,Leslie Regenbaum,1905539,General Counsel (Non-Brd),2016-10-01,2017-05-01,Member,,
Bond Schoeneck & King PLLC,596164,New York State Bar Association (NYSBA),256477,Vincent Hanley,1918069,Member/Partner (Non-Brd),2016-01-01,,Member,,
Bond Schoeneck & King PLLC,596164,New York State Bar Association (NYSBA),256477,Craig Hurley-Leslie,1926145,Associate (Non-Brd),1999-08-01,2001-01-01,Member,,
Sedgwick LLP (Sedgwick Detert Moran & Arnold LLP prior to 03/2011),1877533,New York State Bar Association (NYSBA),256477,Gilbert Lee,1930308,Associate (Non-Brd),2007-02-01,2015-01-01,Member,,
GABRIEL RESOURCES LTD (Starx Resources Corp prior to 04/1997),561182,New York State Bar Association (NYSBA),256477,William Natbony,1912449,Independent Director (Brd) (SD),2016-06-28,2019-06-20,Member,,
ELECTRUM SPECIAL ACQUISITION CORP (De-listed 06/2018),2648036,New York State Bar Association (NYSBA),256477,Thomas Ronzetti III,1899479,Independent Director (Brd) (SD),2015-06-11,2018-06-07,Member,,
Winston & Strawn LLP,69607,New York State Bar Association (NYSBA),256477,Bob Boresta,1923311,Of Counsel (Non-Brd),2010-01-01,2011-08-01,Member,,
Schiff Hardin LLP (Schiff Hardin & Waite LLP prior to 01/2004),823021,New York State Bar Association (NYSBA),256477,Brian Lustbader,1927022,Partner (Non-Brd),2013-07-01,,Co-Chairman,,
Hinckley Allen & Snyder LLP,530153,New York State Bar Association (NYSBA),256477,Jim Barriere,1915426,Partner (Non-Brd),2014-05-01,,Member,,
Paul Weiss Rifkind Wharton & Garrison LLP,54197,New York State Bar Association (NYSBA),256477,Loretta Ippolito,1930387,Partner (Non-Brd),2013-07-01,,Committee Member,,
KINGSTONE COMPANIES INC (DCAP Group Inc prior to 07/2009),8822,New York State Bar Association (NYSBA),256477,Fred Skolnik,1909903,Assistant Secretary (Non-Brd),2016-01-01,,Member,,
DLA Piper LLP (US),931739,New York State Bar Association (NYSBA),256477,Les Loffman,1908061,Partner (Non-Brd),2005-07-01,2009-01-01,Committee Member,,
Morrison Cohen LLP,1727260,New York State Bar Association (NYSBA),256477,Kristin Roy,1923830,Deputy Managing Partner - Finance (Brd) (ED),2017-01-31,2018-01-29,Member,,
Winston & Strawn LLP,69607,New York State Bar Association (NYSBA),256477,Jeff Peters,1907211,Associate (Non-Brd),1996-01-01,1998-01-01,Member,,
Proskauer Rose LLP (Formerly known as Proskauer Rose Goetz & Mendelsohn LLP),89727,New York State Bar Association (NYSBA),256477,Jeff Neuburger,1908074,Partner (Non-Brd),2008-04-01,,Committee Chairman,,
Proskauer Rose LLP (Formerly known as Proskauer Rose Goetz & Mendelsohn LLP),89727,New York State Bar Association (NYSBA),256477,Les Loffman,1908061,Partner (Non-Brd),2012-05-08,,Committee Member,,
MACROGENICS INC,1993117,New York State Bar Association (NYSBA),256477,Jeff Peters,1907211,VP/Acting General Counsel (Non-Brd),2017-06-01,2018-02-01,Member,,
Proskauer Rose LLP (Formerly known as Proskauer Rose Goetz & Mendelsohn LLP),89727,New York State Bar Association (NYSBA),256477,Peter Sherwin,1908081,Associate (Non-Brd),1993-09-01,2001-11-01,Member,,
PEPSICO INC,24151,New York State Bar Association (NYSBA),256477,Marjorie De La Cruz,1932981,Senior VP/Chief Counsel (Non-Brd),2014-05-01,,Member,,
Cleary Gottlieb Steen & Hamilton LLP,39236,New York State Bar Association (NYSBA),256477,Judy Margolin,1907942,Associate (Non-Brd),1991-01-01,1997-01-01,Committee Member,,
Penske Media Corp (PMC) (Mail.com Media Corp prior to 2012),2002746,New York State Bar Association (NYSBA),256477,Judy Margolin,1907942,VP/Deputy General Counsel (Non-Brd),2016-03-01,,Committee Member,,
PEPSICO INC,24151,New York State Bar Association (NYSBA),256477,Marjorie De La Cruz,1932981,Vice President (Non-Brd),2008-01-01,2011-10-01,Member,,
Proskauer Rose LLP (Formerly known as Proskauer Rose Goetz & Mendelsohn LLP),89727,New York State Bar Association (NYSBA),256477,Myron Rumeld,1926672,Partner (Non-Brd),1984-01-01,,Member,,
Schiff Hardin LLP (Schiff Hardin & Waite LLP prior to 01/2004),823021,New York State Bar Association (NYSBA),256477,Barry Lutzky,1927023,Partner (Non-Brd),2013-07-01,,Member,,
Mintz Levin Cohn Ferris Glovsky and Popeo PC,34886,New York State Bar Association (NYSBA),256477,Sam Effron,1898765,Associate (Non-Brd),2006-10-01,2017-05-26,Member,,
Bond Schoeneck & King PLLC,596164,New York State Bar Association (NYSBA),256477,Dan Forsyth,1918068,Member/Partner (Non-Brd),1997-04-01,,Member,,
GARTNER INC (Gartner Group Inc prior to 08/2001),12862,New York State Bar Association (NYSBA),256477,Henry Diamond,1919425,Group VP - Finance (Non-Brd),2007-01-01,2010-01-01,Member,,
Robinson & Cole LLP,489312,New York State Bar Association (NYSBA),256477,Gilbert Lee,1930308,Partner (Non-Brd),2017-08-29,,Member,,
Cravath Swaine & Moore LLP,567845,New York State Bar Association (NYSBA),256477,David Finkelstein,1907013,Partner (Non-Brd),2005-01-01,,Member,,
Duane Morris LLP (Formerly known as Duane Morris & Heckscher LLP),91111,New York State Bar Association (NYSBA),256477,Yao Bailey,1922659,Partner (Non-Brd),2015-08-03,2018-01-01,Member,,
Kelley Drye & Warren LLP,1142330,New York State Bar Association (NYSBA),256477,Cliff Katz,1912738,Partner (Non-Brd),2017-07-01,,Member,,
Emergency Medicine Business Intelligence Inc (EMBI) (d2i),2677374,New York State Bar Association (NYSBA),256477,Mark Taffet,1932944,Director -  SD (Brd) (SD),,,Member,,
Schulte Roth & Zabel LLP,637721,New York State Bar Association (NYSBA),256477,Cathy Schmidt,1928945,Partner (Non-Brd),2014-10-20,,Member,,
Akerman LLP (Akerman Senterfitt LLP prior to 11/2013),836305,New York State Bar Association (NYSBA),256477,Steve Polivy,1902007,Managing Shareholder (Non-Brd),2007-11-01,2013-01-01,Member,,
Akerman LLP (Akerman Senterfitt LLP prior to 11/2013),836305,New York State Bar Association (NYSBA),256477,Steve Polivy,1902007,Partner (Non-Brd),2017-01-01,,Member,,
Sullivan & Cromwell LLP,489314,New York State Bar Association (NYSBA),256477,Bob Boresta,1923311,Associate (Non-Brd),1986-03-01,1989-03-01,Member,,
Kramer Levin Naftalis & Frankel LLP,468414,New York State Bar Association (NYSBA),256477,James Power,1927156,Partner (Non-Brd),2016-09-01,,Member,,
BritishAmerican Business Inc (BAB),66012,New York State Bar Association (NYSBA),256477,Chris Magrath,1918972,Director -  SD (Brd) (SD),,,Member,,
Cravath Swaine & Moore LLP,567845,New York State Bar Association (NYSBA),256477,Leslie Regenbaum,1905539,Associate (Non-Brd),2007-10-01,2016-10-01,Member,,
Schiff Hardin LLP (Schiff Hardin & Waite LLP prior to 01/2004),823021,New York State Bar Association (NYSBA),256477,Robert Freedman,1927016,Counsel (Non-Brd),2019-01-01,,Member,,
Schiff Hardin LLP (Schiff Hardin & Waite LLP prior to 01/2004),823021,New York State Bar Association (NYSBA),256477,Robert Freedman,1927016,Partner (Non-Brd),2013-07-01,2019-01-01,Member,,
Torys LLP,256497,New York State Bar Association (NYSBA),256477,Emily Atkinson,1908408,Director - Learning/Development (Non-Brd),2010-01-01,,Member,,
Port Authority of New York and New Jersey (PANYNJ),96972,New York State Bar Association (NYSBA),256477,Dan Horwitz,1914001,Commissioner (Brd) (SD),2017-07-10,,Member,,
Overseas Private Investment Corp (OPIC),79768,New York State Bar Association (NYSBA),256477,John Sullivan,1901880,Director -  SD (Brd) (SD),,,Member,,
Mayer Brown LLP (Mayer Brown Rowe & Maw LLP prior to 09/2007),483619,New York State Bar Association (NYSBA),256477,John Sullivan,1901880,Partner (Non-Brd),2012-02-22,2016-01-01,Member,,
Mayer Brown LLP (Mayer Brown Rowe & Maw LLP prior to 09/2007),483619,New York State Bar Association (NYSBA),256477,John Sullivan,1901880,Partner (Non-Brd),1993-01-01,2009-01-01,Member,,
Millennium Challenge Corp (MCC),592095,New York State Bar Association (NYSBA),256477,John Sullivan,1901880,Director -  SD (Brd) (SD),,,Member,,
Paul Weiss Rifkind Wharton & Garrison LLP,54197,New York State Bar Association (NYSBA),256477,Catherine Nyarady,1930402,Counsel (Non-Brd),2003-01-01,2005-01-01,Member,,
American Bankers Association (ABA),79015,New York State Bar Association (NYSBA),256477,Kal Das,1921476,Member,,,Member,,
Norton Rose Fulbright US LLP,2224784,New York State Bar Association (NYSBA),256477,Carolyn Reers,1915100,Partner (Non-Brd),2017-07-18,2019-01-01,Member,,
ERIN ENERGY CORP (CAMAC Energy Inc prior to 04/2015) (De-listed 04/2018),1602747,New York State Bar Association (NYSBA),256477,Joseph Ball,1897243,Senior Counsel (Non-Brd),2017-05-31,2018-04-27,Member,,
Arent Fox LLP (Formerly known as Arent Fox Kintner Plotkin and Kahn PLLC),124517,New York State Bar Association (NYSBA),256477,Jeff Peters,1907211,Associate (Non-Brd),1998-12-01,2002-08-01,Member,,
MACROGENICS INC,1993117,New York State Bar Association (NYSBA),256477,Jeff Peters,1907211,VP/Deputy General Counsel (Non-Brd),2015-08-01,2017-06-01,Member,,
MACROGENICS INC,1993117,New York State Bar Association (NYSBA),256477,Jeff Peters,1907211,VP/General Counsel (Non-Brd),2018-02-01,,Member,,
PEPSICO INC,24151,New York State Bar Association (NYSBA),256477,Marjorie De La Cruz,1932981,Corporate Executive (Non-Brd),2004-12-01,2008-01-01,Member,,
Boies Schiller & Flexner LLP,730666,New York State Bar Association (NYSBA),256477,Charles Miller,1922391,Partner (Non-Brd),2010-08-01,,Member,,
Bond Schoeneck & King PLLC,596164,New York State Bar Association (NYSBA),256477,Jennifer Boll,1918066,Member/Partner (Non-Brd),2016-05-16,,Committee Member,,
Fenwick & West LLP,833598,New York State Bar Association (NYSBA),256477,Jim Koenig,1902264,Partner (Non-Brd),2017-06-08,,Member,,
White & Case LLP,48680,New York State Bar Association (NYSBA),256477,Henry Diamond,1919425,Associate Attorney (Non-Brd),1991-01-01,1994-01-01,Member,,
Gordon Rees Scully Mansukhani LLP (Gordon & Rees LLP prior to 2014),1499048,New York State Bar Association (NYSBA),256477,Claudia Costa,1925502,Partner (Non-Brd),2016-05-01,,Executive Committee Member,,
Schiff Hardin LLP (Schiff Hardin & Waite LLP prior to 01/2004),823021,New York State Bar Association (NYSBA),256477,Gary Rubin,1927034,Partner (Non-Brd),2013-07-01,,Member,,
Paul Weiss Rifkind Wharton & Garrison LLP,54197,New York State Bar Association (NYSBA),256477,Jack Baughman,1906781,Lawyer (Non-Brd),1994-09-01,2017-01-01,Member,,
Abrams & Bayliss LLP,2344015,New York State Bar Association (NYSBA),256477,Brad Davey,1901835,Partner (Non-Brd),,2011-10-01,Member,,
PEPSICO INC,24151,New York State Bar Association (NYSBA),256477,Marjorie De La Cruz,1932981,Vice President - Legal (Non-Brd),2011-10-01,2014-05-01,Member,,
JPMORGAN CHASE & CO,17528,New York State Bar Association (NYSBA),256477,Jennifer Weidner,1901558,Officer (Non-Brd),2005-06-01,2006-08-01,Member,,
Canandaigua National Corp,1200202,New York State Bar Association (NYSBA),256477,Jennifer Weidner,1901558,Secretary (Non-Brd),2017-04-12,,Member,,
Marshall Dennehey Warner Coleman & Goggin PC (MDWC&G),534825,New York State Bar Association (NYSBA),256477,Claudia Costa,1925502,Special Counsel (Non-Brd),2014-06-01,2016-05-01,Member,,
Blake Cassels & Graydon LLP (Blakes),945477,New York State Bar Association (NYSBA),256477,Zaichi Hu,1906522,Counsel (Non-Brd),2013-07-01,2017-01-01,Member,,
Blake Cassels & Graydon LLP (Blakes),945477,New York State Bar Association (NYSBA),256477,Zaichi Hu,1906522,Partner (Non-Brd),2017-01-01,,Member,,
Bond Schoeneck & King PLLC,596164,New York State Bar Association (NYSBA),256477,Paul Avery,1918065,Member/Partner (Non-Brd),2015-01-01,,Member,,
HANDY & HARMAN LTD (WHX Corp prior to 01/2011) (De-listed 10/2017),33461,New York State Bar Association (NYSBA),256477,Michael Macmanus,1900198,Senior Attorney (Non-Brd),2009-03-01,2010-04-01,Member,,
Morrison Cohen LLP,1727260,New York State Bar Association (NYSBA),256477,Kristin Roy,1923830,Partner (Non-Brd),2006-12-01,2017-01-31,Member,,
Pepper Hamilton LLP,122857,New York State Bar Association (NYSBA),256477,Jason Lichter,1932892,Director - Services (Non-Brd),2012-09-01,,Committee Member,,
Schulte Roth & Zabel LLP,637721,New York State Bar Association (NYSBA),256477,Seth Chaikin,1909699,Attorney (Non-Brd),2007-09-01,2010-01-01,Member,,
Sullivan & Cromwell LLP,489314,New York State Bar Association (NYSBA),256477,Beth Davy,1932176,Partner (Non-Brd),2004-01-01,,Member,,
Seyfarth Shaw LLP,421472,New York State Bar Association (NYSBA),256477,Brett Bartlett,1898484,Attorney (Non-Brd),2005-02-01,2007-01-01,Member,,
Akerman LLP (Akerman Senterfitt LLP prior to 11/2013),836305,New York State Bar Association (NYSBA),256477,Steve Polivy,1902007,Managing Partner (Non-Brd),2013-01-01,2017-01-01,Member,,
Sinopsys Surgical Inc (DCS Surgical Inc prior to 2013),2006616,New York State Bar Association (NYSBA),256477,Bob Di Scipio,1927946,Director -  SD (Brd) (SD),,,Member,,
Hinckley Allen & Snyder LLP,530153,New York State Bar Association (NYSBA),256477,Jared Cohane,1930798,Partner (Non-Brd),2010-02-01,,Member,,
Paul Weiss Rifkind Wharton & Garrison LLP,54197,New York State Bar Association (NYSBA),256477,Rob Fleder,1930371,Partner (Non-Brd),1986-02-01,2019-01-01,Executive Committee Member,,
Proskauer Rose LLP (Formerly known as Proskauer Rose Goetz & Mendelsohn LLP),89727,New York State Bar Association (NYSBA),256477,Tim Donovan,1899122,Associate (Non-Brd),2007-04-01,2014-11-05,Member,,
Proskauer Rose LLP (Formerly known as Proskauer Rose Goetz & Mendelsohn LLP),89727,New York State Bar Association (NYSBA),256477,Tim Donovan,1899122,Senior Counsel (Non-Brd),2014-11-05,,Member,,
Vista Equity Partners LLC,486799,New York State Bar Association (NYSBA),256477,Alexandria Stuart,1913312,Deputy Chief Compliance Officer (Non-Brd),2017-04-01,,Member,,
CURRENCY EXCHANGE INTERNATIONAL CORP,1985144,New York State Bar Association (NYSBA),256477,Felix Mazer,1902818,General Counsel/Chief Compliance Officer (Non-Brd),2017-06-01,2018-05-01,Member,,
Katten Muchin Rosenman LLP (Katten Muchin Zavis Rosenman LLP prior to 05/2005),783752,New York State Bar Association (NYSBA),256477,William Natbony,1912449,Senior Partner (Non-Brd),2000-01-01,2007-05-01,Member,,
Morgan Lewis & Bockius LLP,250597,New York State Bar Association (NYSBA),256477,Kathleen Martin,1898061,Of Counsel (Non-Brd),2002-06-01,,Member,,
Orrick Herrington & Sutcliffe LLP,484431,New York State Bar Association (NYSBA),256477,Jim McQuade,1953207,Partner (Non-Brd),2014-01-01,,Member,,
INVESTMENT TECHNOLOGY GROUP INC (ITG) (De-listed 03/2019),16885,New York State Bar Association (NYSBA),256477,Laurie Bennett,1941462,General Counsel/Director (Non-Brd),2004-09-01,2009-12-01,Member,,
TravelClick Inc,121992,New York State Bar Association (NYSBA),256477,Laurie Bennett,1941462,General Counsel (Non-Brd),2017-09-01,,Member,,
TravelClick Inc,121992,New York State Bar Association (NYSBA),256477,Laurie Bennett,1941462,Interim General Counsel (Non-Brd),2017-06-01,2017-09-01,Member,,
Paul Weiss Rifkind Wharton & Garrison LLP,54197,New York State Bar Association (NYSBA),256477,Peter Rothenberg,1934425,Of Counsel (Non-Brd),1974-01-01,,Committee Member,,
Sutherland Asbill & Brennan LLP (Ceased Trading 02/2017),639032,New York State Bar Association (NYSBA),256477,Mark Yopp,1949845,Associate (Non-Brd),2006-05-01,2012-03-01,Member,,
McDermott Will & Emery LLP,639301,New York State Bar Association (NYSBA),256477,Mark Yopp,1949845,Associate (Non-Brd),2012-04-01,2016-01-01,Member,,
McDermott Will & Emery LLP,639301,New York State Bar Association (NYSBA),256477,Mark Yopp,1949845,Partner (Non-Brd),2016-01-01,,Member,,
Baker Botts LLP (Baker & Botts LLP prior to 2000),82219,New York State Bar Association (NYSBA),256477,Jennifer Tempesta,1945688,Special Counsel (Non-Brd),2014-01-01,2017-01-01,Member,,
Akin Gump Strauss Hauer & Feld LLP,51437,New York State Bar Association (NYSBA),256477,Jacqueline Yecies,1969533,Attorney (Non-Brd),2008-09-01,2018-01-01,Member,,
Ropes & Gray LLP,89706,New York State Bar Association (NYSBA),256477,Elaine Murphy,1941073,Partner (Non-Brd),1999-09-01,,Committee Member,,
Norton Rose Fulbright US LLP,2224784,New York State Bar Association (NYSBA),256477,Jarret Stephens,1971059,Senior Associate (Non-Brd),2013-01-01,2018-01-01,Member,,
Fried Frank Harris Shriver & Jacobson LLP,48048,New York State Bar Association (NYSBA),256477,Jean Hanson,1969922,Partner (Non-Brd),1983-01-01,1993-01-01,Member,,
Fried Frank Harris Shriver & Jacobson LLP,48048,New York State Bar Association (NYSBA),256477,Jean Hanson,1969922,Partner (Non-Brd),1994-08-01,2012-01-01,Member,,
Eos Partners LP,468343,New York State Bar Association (NYSBA),256477,Marisa Aaron,1970767,Director - Compliance (Non-Brd),2014-01-01,,Member,,
Greenberg Traurig LLP,113127,New York State Bar Association (NYSBA),256477,Tom Leslie,1939468,Managing Shareholder (Non-Brd),2008-10-01,,Member,,
Baker & Hostetler LLP,85282,New York State Bar Association (NYSBA),256477,Nick Melillo,1938604,Partner (Non-Brd),2016-01-04,,Member,,
Fried Frank Harris Shriver & Jacobson LLP,48048,New York State Bar Association (NYSBA),256477,Jean Hanson,1969922,Various Positions (Non-Brd),1976-01-01,1983-01-01,Member,,
Federal Deposit Insurance Corp (FDIC),565694,New York State Bar Association (NYSBA),256477,Molly Calkins,1955511,Counsel (Non-Brd),2009-03-01,2011-07-01,Member,,
Stroock & Stroock & Lavan LLP,731769,New York State Bar Association (NYSBA),256477,Jerome Manning,1948545,Of Counsel (Non-Brd),,,Member,,
Dentons US LLP,1686476,New York State Bar Association (NYSBA),256477,Michael Kim,1969096,Attorney (Non-Brd),2009-01-01,2011-10-01,Member,,
Wachtell Lipton Rosen & Katz,93992,New York State Bar Association (NYSBA),256477,David Neill,1941085,Of Counsel (Non-Brd),2015-01-01,,Committee Member,,
Squire Patton Boggs (US) LLP (Squire Sanders (US) LLP prior to 05/2014),79403,New York State Bar Association (NYSBA),256477,Jake Smith,1956764,Attorney (Non-Brd),2009-05-01,2015-03-10,Member,,
Ivanhoe Cambridge Inc,605460,New York State Bar Association (NYSBA),256477,Denis Boulianne,1945264,Executive VP/General Counsel/Corporate Secretary (Non-Brd),2018-03-01,,Member,,
Orrick Herrington & Sutcliffe LLP,484431,New York State Bar Association (NYSBA),256477,Douglas Goodfriend,1940246,Partner (Non-Brd),,,Member,,
Cleary Gottlieb Steen & Hamilton LLP,39236,New York State Bar Association (NYSBA),256477,Abena Mainoo,1969386,Partner (Non-Brd),2018-01-01,,Member,,
Utica Mutual Insurance Co Inc,734761,New York State Bar Association (NYSBA),256477,Jolene Casatelli,1960190,Senior VP/Senior Claims Officer (Non-Brd),2015-01-01,,Member,,
Ropes & Gray LLP,89706,New York State Bar Association (NYSBA),256477,Ali George,1949296,Partner (Non-Brd),2017-11-01,,Member,,
Winston & Strawn LLP,69607,New York State Bar Association (NYSBA),256477,Rex Sessions,1962763,Partner (Non-Brd),1986-08-01,,Member,,
Winston & Strawn LLP,69607,New York State Bar Association (NYSBA),256477,Tara Greenberg,1968809,Of Counsel (Non-Brd),2009-01-01,2017-12-22,Member,,
Orrick Herrington & Sutcliffe LLP,484431,New York State Bar Association (NYSBA),256477,Annalisa Dentoni-Litta,1934570,Partner (Non-Brd),2015-10-01,,Member,,
Blank Rome LLP (Blank Rome Comisky & McCauley LLP prior to 01/2003),501916,New York State Bar Association (NYSBA),256477,Michael Kim,1969096,Of Counsel (Non-Brd),2015-07-01,2018-01-01,Member,,
OUTLOOK THERAPEUTICS INC (Oncobiologics Inc prior to 12/2018),2456761,New York State Bar Association (NYSBA),256477,Yezan Haddadin,1947458,Independent Director (Brd) (SD),2018-04-13,,Member,,
Winston & Strawn LLP,69607,New York State Bar Association (NYSBA),256477,Alan Stevens,1968814,Partner (Non-Brd),2017-12-22,,Member,,
Wilson Elser Moskowitz Edelman & Dicker LLP,936338,New York State Bar Association (NYSBA),256477,Melissa Murphy-Petros,1954440,Associate (Non-Brd),2007-05-01,2012-01-01,Member,,
