name,name_id,dob,dod,age,gender,nationality
Michael Zhang,1543398,1969,n.a.,50,M,
Jonathan Silverstein,1543408,n.a.,n.a.,,M,
Doug Crumb,1543410,n.a.,n.a.,,M,
Tony Mueller,1543411,n.a.,n.a.,,M,
Helen Thompson,1543415,1969,n.a.,50,F,
Steve Louden,1543416,1972,n.a.,47,M,
Joel Falitz,1543417,1948,n.a.,71,M,
Jeff Waldvogel,1543421,1977,n.a.,42,M,
Glen Hilton,1543422,n.a.,n.a.,,M,
Jack Fishman,1543424,1958,n.a.,61,M,
Jim Moll,1543427,1951,n.a.,68,M,
Anish Sunderji,1543432,n.a.,n.a.,,M,
Alnesh Mohan,1543433,1972,n.a.,47,M,
Ernie Elko,1543435,n.a.,n.a.,,M,
Stephen Stewart,1543436,1980,n.a.,39,M,
Doctor Ondrej Krivanek,1543437,1950,n.a.,69,M,
Alex Stewart,1543438,1955,n.a.,64,M,
Niklas Dellby,1543439,n.a.,n.a.,,M,
John Bishop,1543440,n.a.,n.a.,,M,
Patrick Deshaye,1543441,n.a.,n.a.,,M,
Nikolaus Kiefer,1543442,n.a.,n.a.,,M,
Charles Munson,1543444,n.a.,n.a.,,M,
Stan Farnsworth,1543445,n.a.,n.a.,,M,
Doctor Kurt Schroder,1543446,n.a.,n.a.,,M,
Shelley Hulgrave,1543447,n.a.,n.a.,,F,
Doctor Karl Martin,1543448,n.a.,n.a.,,M,
Doug Jackson,1543449,n.a.,n.a.,,M,
Doctor Diane Freim III,1543450,n.a.,n.a.,,M,
Doctor David Crouse,1543451,n.a.,n.a.,,M,
John Radford,1543453,n.a.,n.a.,,M,
Dave Ramahi,1543454,n.a.,n.a.,,M,
Mike Barry,1543455,n.a.,n.a.,,M,
John Lees,1543456,n.a.,n.a.,,M,
Ken Vartanian,1543457,1947,n.a.,72,M,
Doctor Mike Renn,1543458,n.a.,n.a.,,M,
Mike O'Reilly,1543460,n.a.,n.a.,,M,
Mike Kardos,1543461,n.a.,n.a.,,M,
Doctor Nicole Avallone,1543464,n.a.,n.a.,,F,
Blair Barbour,1543466,n.a.,n.a.,,M,
Henrik Lundin,1543471,n.a.,n.a.,,M,
Hide Irie,1543472,n.a.,n.a.,,M,
Eric Hartness,1543473,n.a.,n.a.,,M,
H Philips,1543474,1967,n.a.,52,M,
Gerson Souza,1543475,n.a.,n.a.,,M,
Rich Pasqua,1543506,n.a.,n.a.,,M,
Srikanth Iyengar,1543509,n.a.,n.a.,,M,
Karl Chiao,1543511,n.a.,n.a.,,M,
Peter Tshonas,1543513,n.a.,n.a.,,M,
Peter Jackson,1543516,1949,n.a.,70,M,
Allen Schoonmaker,1543517,n.a.,n.a.,,M,
Eric Lannen,1543523,1966,n.a.,53,M,
Randy Bockenstedt,1543525,n.a.,n.a.,,M,
Doctor Elisabeth Bourqui,1543526,1975,n.a.,44,F,
Brendan Peter,1543527,n.a.,n.a.,,M,
Jeff Bakken,1543529,n.a.,n.a.,,M,
Matt Culbertson,1543530,n.a.,n.a.,,M,
Dan Kruse,1543531,n.a.,n.a.,,M,
Carmel Galvin,1543532,n.a.,n.a.,,F,
Brent Dahl,1543535,n.a.,n.a.,,M,
Scott McGillivray,1543539,1969,n.a.,50,M,
Chuck Barresi,1543540,n.a.,n.a.,,M,
Nancy Falls,1543542,1957,n.a.,62,F,
George Harrison,1543546,n.a.,n.a.,,M,
Doctor Marvin Liu,1543549,n.a.,n.a.,,M,
Carell Grass,1543551,n.a.,n.a.,,M,
Doctor Simon Eastman,1543555,n.a.,n.a.,,M,
Lisa Dolan,1543556,n.a.,n.a.,,F,
Mark Wuller,1543557,n.a.,n.a.,,M,
Christine Perry,1543558,n.a.,n.a.,,F,
Toby Campbell,1543559,n.a.,n.a.,,F,
Daniel Dror II,1543560,1976,n.a.,43,M,
Casey Ingle,1543561,n.a.,n.a.,,M,
Benjamin Schlater,1543562,n.a.,n.a.,,M,
Russ Bate,1543566,n.a.,n.a.,,M,
Kevin Brackman,1543570,n.a.,n.a.,,M,
Jeff Miller,1543571,n.a.,n.a.,,M,
Roger Torres,1543574,1968,n.a.,51,M,
Fergus McGovern,1543581,1966,n.a.,53,M,British
Ash Sawhney,1543582,n.a.,n.a.,,M,
Loretta Benec,1543583,n.a.,n.a.,,F,
Greg Orr,1543585,n.a.,n.a.,,M,
Dave Brigati,1543587,n.a.,n.a.,,M,
Rajiv Goel,1543603,1972,n.a.,47,M,
Dan Black,1543614,Apr 1960,n.a.,59,M,American
Loan Nisser,1543618,n.a.,n.a.,,F,
TIm Wallace,1543622,1959,n.a.,60,M,
Aleida Socarrs,1543623,n.a.,n.a.,,F,
Page Barnes,1543625,1954,n.a.,65,M,
Devon Moormann,1543626,n.a.,n.a.,,F,
C Moore,1543628,n.a.,n.a.,,M,
Ron Hart,1543630,n.a.,n.a.,,M,
Nicole Carter,1543632,n.a.,n.a.,,F,
Luke Liu,1543634,n.a.,n.a.,,M,
Adam Goldman,1543635,1962,n.a.,57,M,
Steve Harrison,1543637,n.a.,n.a.,,M,
Bill Hayes,1543639,n.a.,n.a.,,M,
Mike Willman,1543641,n.a.,n.a.,,M,
Jim Short,1543643,n.a.,n.a.,,M,
Alan Gardner,1543650,1954,n.a.,65,M,
Professor Lawrence Van Horn,1543654,1968,n.a.,51,M,
Klaus Lederer,1543657,n.a.,n.a.,,M,
David Rowe,1543662,n.a.,n.a.,,M,
Arlene Smith-Scott,1543664,n.a.,n.a.,,F,
Ken Siegel,1543669,1959,n.a.,60,M,
Effie Epstein,1543671,n.a.,n.a.,,F,
Erin Jones,1543677,n.a.,n.a.,,F,
Charlie Ditkoff,1543678,1962,n.a.,57,M,
Michael Hammond,1543679,1950,n.a.,69,M,
Amir Rubin,1543680,1970,n.a.,49,M,
Ken Kandeepan,1543681,n.a.,n.a.,,M,
Mike Potter,1543683,n.a.,n.a.,,M,
Kevin Ainsworth,1543686,n.a.,n.a.,,M,
Len Paton,1543688,n.a.,n.a.,,M,
Alberto Reyes,1543698,n.a.,n.a.,,M,
William Lobel,1543700,n.a.,n.a.,,M,
Charles Harrell,1543701,n.a.,n.a.,,M,
Travis Rundlet,1543702,n.a.,n.a.,,M,
Ronald Lemieux,1543708,n.a.,n.a.,,M,
Michael Weiland,1543714,n.a.,n.a.,,M,
Feng Xue,1543718,n.a.,n.a.,,M,
Patrick LeBedis,1543720,1969,n.a.,50,M,
Atif Rahim,1543723,n.a.,n.a.,,M,
Gerard Winkels,1543725,1957,n.a.,62,M,
Omar Jaffrey,1543729,n.a.,n.a.,,M,
Laurent Harvey,1543730,n.a.,n.a.,,M,
Mike Dunn,1543734,n.a.,n.a.,,M,
Joan Beresford,1543738,1955,n.a.,64,F,
