name,name_id,dob,dod,age,gender,nationality
David Holcombe,554479,1965,n.a.,54,M,
Janine Mulhall,554483,1961,n.a.,58,F,
R Whittingham,554484,n.a.,n.a.,,M,
Frank Novosel,554485,1946,n.a.,73,M,
Vaughn Duff,554486,n.a.,n.a.,,M,
Doctor Michael Behrman,554487,1959,n.a.,60,M,
Curt Clifford,554488,1942,n.a.,77,M,
Dean Giovanniello,554489,n.a.,n.a.,,M,
Thomas Hoover,554490,n.a.,n.a.,,M,
Scott Berlin,554491,1970,n.a.,49,M,
Mike Pfau,554492,31 Mar 1954,n.a.,65,M,American
Teresa Patton,554493,1948,n.a.,71,F,
Martin Rudolph,554494,1946,n.a.,73,M,
James Epstein,554495,1958,n.a.,61,M,American
David Hall,554496,1959,n.a.,60,M,
Margaret Sulkin,554497,1959,n.a.,60,F,
Janis Schoonmaker,554498,1956,n.a.,63,F,
Delbert Wacker,554499,1932,n.a.,87,M,
Sarah Cecil,554500,1952,n.a.,67,F,
Bill Murtagh Jr,554501,1953,n.a.,66,M,
Thomas Williams,554502,1952,n.a.,67,M,
W Scheirman,554503,1955,n.a.,64,M,
Mark Morrison,554504,1960,n.a.,59,M,
David Poldoian,554505,1953,n.a.,66,M,
Frank Stryjewski,554506,1957,n.a.,62,M,
Dave Blockowicz,554507,1942,n.a.,77,M,
Carmella Cassetta,554508,n.a.,n.a.,,F,
Pam Piarowski,554509,1960,n.a.,59,F,
Doctor Luigi Caflisch,554510,1935,n.a.,84,M,
Janie Copeland,554511,1963,n.a.,56,F,
Brooks Davis,554512,1964,n.a.,55,M,
Doctor Rudolf Gunnerman,554513,1928,n.a.,91,M,
Don Chapoton,554514,18 May 1936,n.a.,83,M,
Gayla Cutrer,554515,1941,n.a.,78,F,
Kevin Kasitz,554516,1963,n.a.,56,M,
Loren Kalmen,554517,1952,n.a.,67,M,
Jeffrey Passmore,554518,1968,n.a.,51,M,
Dick Masica,554519,1937,n.a.,82,M,American
Robert Van Maasdijk,554520,1945,n.a.,74,M,
Doctor Raad Alkadiri,554522,1967,n.a.,52,M,British
Donald Meyer,554523,1956,n.a.,63,M,
Curtis Donnell,554525,1938,n.a.,81,M,
Gregory Birdsall,554527,n.a.,n.a.,,M,
Richard Gibson,554528,n.a.,n.a.,,M,
Doctor Larry Ryan,554529,1972,n.a.,47,M,
Brian Savino,554530,1955,n.a.,64,M,
Michael Abend,554531,1969,n.a.,50,M,
Edward Rosenblum,554532,1945,n.a.,74,M,
Michael Applegate,554533,1953,n.a.,66,M,
Peter Gunnerman,554534,1967,n.a.,52,M,
Alan Austin Jr,554535,06 Jan 1961,n.a.,58,M,
Stan Farmer,554536,1967,n.a.,52,M,
John Pappas,554537,1955,n.a.,64,M,
Danny Dukes,554538,1961,n.a.,58,M,
Doctor Andrew Jay,554539,1964,n.a.,55,M,
Daniel Frank,554540,1957,n.a.,62,M,
