name,name_id,dob,dod,age,gender,nationality
Leo Pavliv,1047205,1960,n.a.,59,M,
David Lowrance,1047206,1967,n.a.,52,M,
Jim Herman,1047207,1955,n.a.,64,M,
Doctor Amy Rock,1047208,1971,n.a.,48,F,
Doctor Arthur Wheeler,1047209,1957,n.a.,62,M,
Barry Lee,1047210,1959,n.a.,60,M,
Cindy Patton,1047211,1954,n.a.,65,F,
Doug Jack,1047212,1970,n.a.,49,M,
Doctor Peter Hecht,1047213,1964,n.a.,55,M,
Skip Bronson,1047214,1944,n.a.,75,M,
Jeff DiModica,1047215,1967,n.a.,52,M,
Bill Hix,1047216,n.a.,n.a.,,M,
Gina Miller,1047217,n.a.,n.a.,,F,
Barbara Anderson,1047218,1965,n.a.,54,F,
Leo Huang,1047219,n.a.,n.a.,,M,
Michael Higgins,1047220,1962,n.a.,57,M,
Doctor Mark Currie,1047221,1955,n.a.,64,M,
Thomas McCourt,1047222,1958,n.a.,61,M,
Brian Cali,1047223,n.a.,n.a.,,M,
Richard Smith,1047224,1957,n.a.,62,M,
Jim DeTore,1047225,1964,n.a.,55,M,
Halley Gilbert,1047226,1970,n.a.,49,F,
Sonya Lambert,1047227,1965,n.a.,54,F,
Eigerwand Bjornstad,1047228,1962,n.a.,57,M,
Doctor Jeff Johnston,1047229,n.a.,n.a.,,M,
Doctor George Milne,1047230,n.a.,n.a.,,M,
Angela Novak,1047231,n.a.,n.a.,,F,
Doctor Bob Hirsch,1047232,1959,n.a.,60,M,
Jim O'Mara,1047233,n.a.,n.a.,,M,
Susan Brady,1047234,n.a.,n.a.,,F,
Wayne Gorsek,1047235,n.a.,n.a.,,M,
Mary Marbach,1047236,1966,n.a.,53,F,
Jojo Carter,1047238,n.a.,n.a.,,M,
Jason Henne,1047239,n.a.,n.a.,,M,
Kathy Reed,1047240,n.a.,n.a.,,F,
John Young,1047241,n.a.,n.a.,,M,
Ira Kerker,1047242,1962,n.a.,57,M,
Stew Gitler,1047243,23 May 1958,n.a.,61,M,American
Doctor Lawrence Pabst,1047245,1950,n.a.,69,M,
Doctor Robert Trapp,1047247,1949,n.a.,70,M,
Doctor David Ilfeld,1047248,1948,n.a.,71,M,
Bryan Ingram,1047249,1965,n.a.,54,M,
Pat McCall,1047251,1955,n.a.,64,F,
Bock Tan,1047254,1943,n.a.,76,M,
Tze-Siong Chong,1047255,n.a.,n.a.,,M,
Fatt Ho,1047256,n.a.,n.a.,,M,
Frank Ostojic,1047257,n.a.,n.a.,,M,
Jacob Sayer,1047258,n.a.,n.a.,,M,
Phil Gadd,1047260,n.a.,n.a.,,M,
Hassan Hussain,1047261,n.a.,n.a.,,M,
Debra Landers,1047262,n.a.,n.a.,,F,
David Spector,1047264,1963,n.a.,56,M,
Andrew Chang,1047265,1978,n.a.,41,M,
Jeff Grogin,1047266,1961,n.a.,58,M,
Michael Muir,1047267,1966,n.a.,53,M,
David Walker,1047268,1956,n.a.,63,M,
Julianne Fries,1047269,1963,n.a.,56,F,
Aratha Johnson,1047270,1968,n.a.,51,F,
Mark Wiedman,1047271,1972,n.a.,47,M,
Scott Carnahan,1047272,1953,n.a.,66,M,
Randall Hadley,1047273,1943,n.a.,76,M,
David Blackman,1047274,1962,n.a.,57,M,
