name,name_id,dob,dod,age,gender,nationality
Dale Petersen,651574,1951,n.a.,68,M,
David Westman,651575,1958,n.a.,61,M,
Bob Neville,651576,1956,n.a.,63,M,
J Rogers,651577,1944,n.a.,75,M,
E Cardwell,651578,1941,n.a.,78,M,
Mike Abbott,651579,1972,n.a.,47,M,
Roy Ferguson,651580,1947,n.a.,72,M,
David Harlow,651581,1963,n.a.,56,M,
Karen James,651582,1956,n.a.,63,F,
Marion McMillan,651583,1953,n.a.,66,F,
David Seat,651585,1951,n.a.,68,M,
Mike Bell,651586,1967,n.a.,52,M,
Ken Starks,651587,1954,n.a.,65,M,
Jeff Devine,651588,1961,n.a.,58,M,
Dennis Ting,651589,1950,n.a.,69,M,
Don Buehner,651591,1930,n.a.,89,M,
Trevor Saliba,651592,1974,n.a.,45,M,
Shaher Hawatmeh,651593,1965,n.a.,54,M,
David Harmon,651594,1957,n.a.,62,M,
Simon Bird,651595,n.a.,n.a.,,M,
James Snow,651596,n.a.,n.a.,,M,
Richard Ferrone,651601,1950,n.a.,69,M,
Aram Keith,651602,1945,n.a.,74,M,
Kerry Graskewicz,651603,1965,n.a.,54,M,
Robert Bradshaw,651605,1948,n.a.,71,M,
Robert Mesel,651607,1936,n.a.,83,M,
Don Evans,651608,1935,n.a.,84,M,
Sue Hartman,651609,1951,n.a.,68,F,
David Hayes,651610,1948,n.a.,71,M,
Mark Jackson,651611,n.a.,n.a.,,M,
Don Wilson,651612,1957,n.a.,62,M,
Mark Schmidt,651613,1966,n.a.,53,M,
Jeff Lloyd,651614,1965,n.a.,54,M,
Ryan Gibson,651615,1978,n.a.,41,M,
Charles Rendina,651616,1949,n.a.,70,M,
John Ringo,651617,1946,n.a.,73,M,
Tom Hammond,651619,n.a.,n.a.,,M,
Al Ninneman,651620,1944,n.a.,75,M,
Dave Downing,651622,1950,n.a.,69,M,
Nate Hart,651623,n.a.,n.a.,,M,
Doctor Michael Hitch,651624,16 Nov 1962,n.a.,56,M,
Dan March,651625,n.a.,n.a.,,M,
C Laychak,651626,n.a.,n.a.,,F,
Kevin Tannehill,651627,n.a.,n.a.,,M,
Kyle Kaczmarek,651628,n.a.,n.a.,,M,
Doctor Peter Born,651629,28 Apr 1953,n.a.,66,M,
Bob Rock,651630,n.a.,n.a.,,M,
Doctor Kenneth Steiner,651636,1954,n.a.,65,M,American
Doctor George Yu,651637,n.a.,n.a.,,M,
Vera Leonard,651638,1945,n.a.,74,F,
Gina Portman,651639,17 Oct 1965,n.a.,53,F,
Paul Sarjeant,651642,29 May 1960,n.a.,59,M,
Patti Rose,651643,n.a.,n.a.,,F,
Robert McCoy Jr,651644,1945,n.a.,74,M,
Mike Newcomb,651645,n.a.,n.a.,,M,
Jim Bickel,651646,1939,n.a.,80,M,
Pat Edgerton,651647,1945,n.a.,74,M,
Michael Rosenblatt,651648,1951,n.a.,68,M,
Nancy Jacques,651649,n.a.,n.a.,,F,
Thomas Puzzo,651650,1967,n.a.,52,M,
Mark Alflatt,651656,n.a.,n.a.,,M,
Doug Chapple,651657,1952,n.a.,67,M,
Grainne Mackin,651658,n.a.,n.a.,,F,
Mark Wilson,651667,n.a.,n.a.,,M,
Lenny Shapiro,651669,02 Feb 1947,n.a.,72,M,
Allen Freeman,651671,n.a.,n.a.,,M,
Todd Lifson,651673,n.a.,n.a.,,M,
Al Sussman,651677,n.a.,n.a.,,M,
Mark Freeman,651679,n.a.,n.a.,,M,
Wendy Baldinger,651686,n.a.,n.a.,,F,American
Carole Davidson,651696,n.a.,n.a.,,F,
Brad Walker,651698,n.a.,n.a.,,M,
Daniel Llambas,651702,08 Feb 1947,n.a.,72,M,
Bill Gotlieb,651703,18 Feb 1962,n.a.,57,M,
Jill Gottlieb,651705,n.a.,n.a.,,F,
Bob Hartman,651712,n.a.,n.a.,,M,
Lisa Heilicher,651715,n.a.,n.a.,,F,
Enrique Behrends,651722,31 Jan 1946,n.a.,73,M,
Doctor Larry Kerzner,651724,n.a.,n.a.,,M,
Barry Newman,651734,1966,n.a.,53,M,
Jeff Ringer,651740,n.a.,n.a.,,M,
ED Slonim,651743,18 Jun 1921,23 Oct 2014,97,M,
Michael Porter,651755,1940,n.a.,79,M,
Steve Humphries,651795,1953,n.a.,66,M,
Dave Wange,651800,1960,n.a.,59,M,
David Scaturro,651803,1952,n.a.,67,M,
Raj Sharma,651806,1971,n.a.,48,M,
Clive Hawkins,651809,n.a.,n.a.,,M,
Rex Adams,651845,1962,n.a.,57,M,
Norman Pozez,651846,1955,n.a.,64,M,
Roy Tanaka,651848,1948,n.a.,71,M,
Ben Babcock,651849,1967,n.a.,52,M,
Paula Zusi,651850,n.a.,n.a.,,F,
John Ellsworth,651855,1968,n.a.,51,M,
Jim Fraser,651857,1953,n.a.,66,M,
Carl Lukach,651859,1955,n.a.,64,M,
Karen Fletcher,651861,n.a.,n.a.,,F,
Tim Coressel,651865,n.a.,n.a.,,M,
Joseph Miller,651866,1963,n.a.,56,M,
Peter Minihane,651870,1948,n.a.,71,M,
Thomas Wasekanes,651872,1956,n.a.,63,M,
W Tidemann,651880,n.a.,n.a.,,M,
Jeff Soinski,651881,1962,n.a.,57,M,
Bob Walton,651882,n.a.,n.a.,,M,
Matthew Evans,651886,n.a.,n.a.,,M,
Doris Galvin,651903,n.a.,n.a.,,F,
Ernie Miller,651914,1970,n.a.,49,M,
Jim Ford,651915,1955,n.a.,64,M,
Mark Duesenberg,651926,17 Jan 1962,n.a.,57,M,
Abha Pant,651929,n.a.,n.a.,,F,
Steve Kaplan,651930,n.a.,n.a.,,M,
Jim Meehan,651932,n.a.,n.a.,,M,
Lalit Ahluwalia,651933,n.a.,n.a.,,M,
Venkat Venkatachalam,651934,n.a.,n.a.,,M,
Allen Sorensen,651950,1958,n.a.,61,M,
Loretta Bush,651951,Sep 1958,n.a.,60,F,American
David Olson,651952,1954,n.a.,65,M,
Steve Richards,651954,1969,n.a.,50,M,
Gerard Abraham,651955,1948,n.a.,71,M,
Kevin Barrett,651957,n.a.,n.a.,,M,
Kevin Cronin,651958,1960,n.a.,59,M,
Jordan Wu,651964,1960,n.a.,59,M,
Chih-Chung Tsai,651972,1955,n.a.,64,M,
Max Chan,651973,1967,n.a.,52,M,
John Hague,651975,n.a.,n.a.,,M,
Lisa Pope,651976,n.a.,n.a.,,F,
Charlie Eggerding,651977,n.a.,n.a.,,M,
John Carter Jr,651980,n.a.,n.a.,,M,
Greg Lloyd,651981,n.a.,n.a.,,M,
Henry Lau,651985,n.a.,n.a.,,M,
Phil Friedman,651986,n.a.,n.a.,,M,
Joanna Nikka,651987,1952,n.a.,67,F,
Maxwell Qing,651988,n.a.,n.a.,,M,
Terry Onica,651990,n.a.,n.a.,,F,
Maura McNerney,651993,1971,n.a.,48,F,
Shelly Singhal,651995,n.a.,n.a.,,M,
Alex Incera,651996,1964,n.a.,55,M,
Jesper Knutsson,652005,n.a.,n.a.,,M,Danish
Professor Colin Masters,652009,05 Feb 1947,n.a.,72,M,
Beth Glassman,652010,n.a.,n.a.,,F,
George Eure,652014,n.a.,n.a.,,M,
Emile Faciane,652017,n.a.,n.a.,,M,
Phil Gaynor,652019,n.a.,n.a.,,M,
Doctor Steven Targum,652020,n.a.,n.a.,,M,
Randy Jones,652023,n.a.,n.a.,,M,
Mickey Link,652024,n.a.,n.a.,,M,
Pat Rogers,652025,n.a.,n.a.,,M,
Dan McAuliffe,652026,n.a.,n.a.,,M,
Doctor Greg Ferdock,652027,n.a.,n.a.,,M,
Mike Perkins,652028,n.a.,n.a.,,M,
Rob Fitzgerald,652029,n.a.,n.a.,,M,
Seth Foreman,652030,n.a.,n.a.,,M,
J Reese,652031,n.a.,n.a.,,M,
Wes Schlenker,652032,1963,n.a.,56,M,
Carl Gentile,652033,1957,n.a.,62,M,
Bill Arthur III,652034,n.a.,n.a.,,M,
Rick Dastin,652035,1959,n.a.,60,M,
Daniel Kwan,652036,n.a.,n.a.,,M,
Chris Carey Sr,652045,1952,n.a.,67,M,
Jamie Dhooghe,652049,n.a.,n.a.,,M,
Tasha Diltz,652051,n.a.,n.a.,,F,
Lori Gammon,652052,1978,n.a.,41,F,
Andre Joyner,652053,n.a.,n.a.,,M,
Wayne Danson,652055,1953,n.a.,66,M,
John Donahue,652056,1949,n.a.,70,M,
Steven Miller,652057,1959,n.a.,60,M,
Wilbank Roche,652061,1947,n.a.,72,M,
Cory Gelmon,652065,1960,n.a.,59,M,
Michael Gelmon,652066,1965,n.a.,54,M,
Arne Dunhem,652068,1950,n.a.,69,M,
Jesse Dobrinsky,652069,1956,n.a.,63,M,
Scott Goodman,652072,1959,n.a.,60,M,
Doctor John Udell,652074,1955,n.a.,64,M,American
Bill Nolan IV,652075,1975,n.a.,44,M,
Beth Roberts,652076,n.a.,n.a.,,F,
Bill O'Connell,652077,1955,n.a.,64,M,
Stan Yakatan,652078,1943,n.a.,76,M,
Doctor Mike Finch,652079,22 Jun 1948,n.a.,71,M,
Randall Prouty,652081,1953,n.a.,66,M,
Ted Greenberg,652083,1960,n.a.,59,M,
Bonnie Labosky,652084,1942,n.a.,77,F,
John Lanzafame,652087,1967,n.a.,52,M,
Travis Baugh,652089,1955,n.a.,64,M,
Bruce Blackwell,652090,1948,n.a.,71,M,
Stuart MacDonald,652091,1950,n.a.,69,M,
Dave Rasmussen,652092,1967,n.a.,52,M,
Dennis McLaughlin III,652093,1966,n.a.,53,M,
Scott Gallagher,652094,1967,n.a.,52,M,
Margaret Russell,652095,1965,n.a.,54,F,
