name,name_id,dob,dod,age,gender,nationality
Mike Eldred,504771,1970,n.a.,49,M,
Alfredo Casar Prez,504772,1954,n.a.,65,M,
Paul Duffy,504775,1966,n.a.,53,M,
Jim Miller,504776,n.a.,n.a.,,M,
Ravi Patel,504783,n.a.,n.a.,,M,
Shigeyuki Hamamatsu,504784,1973,n.a.,46,M,
Gabriel Stoliar,504787,1953,n.a.,66,M,
Professor Steve Wallenstein,504788,n.a.,n.a.,,M,
Stanley Greig,504789,n.a.,n.a.,,M,
K Kohler,504791,1966,n.a.,53,M,
Dan Levitt,504796,07 Feb 1968,n.a.,51,M,British
Chad Taggard,504798,1964,n.a.,55,M,
Brian Wendling,504799,1973,n.a.,46,M,
Tracy Abdo,504800,n.a.,n.a.,,F,
Linda Richardson,504801,n.a.,n.a.,,F,
Martha Wilson,504804,1933,n.a.,86,F,
Neal Dermer,504806,1969,n.a.,50,M,
Nuria Fernandez,504811,1960,n.a.,59,F,
Phil Johnston,504812,1940,n.a.,79,M,
Lawrence Taylor,504815,1947,n.a.,72,M,
Vince Passione,504818,1962,n.a.,57,M,American
Rollie Peterson,504819,1948,May 2007,63,M,
Benjamin Namatinia,504820,1944,n.a.,75,M,
Chris Calhoun,504822,1965,n.a.,54,M,
Margaret Campbell,504823,1939,n.a.,80,F,
Dian Cohen,504824,1932,n.a.,87,F,Canadian
Jeffery Smith,504825,1951,n.a.,68,M,
David Trinder,504826,1958,n.a.,61,M,
Frank Inman Jr,504827,1937,n.a.,82,M,
Joseph O'Sullivan,504828,1953,n.a.,66,M,American
Mark Saad,504829,1969,n.a.,50,M,
Doctor Ray Bisque,504830,01 Sep 1931,09 Jun 2014,86,M,
Doctor Nancy Hutson,504831,1950,n.a.,69,F,
Barry Davall,504832,1942,n.a.,77,M,
Cissie Meehan,504833,n.a.,n.a.,,F,
Alain Benedetti,504834,1948,n.a.,71,M,
Tom Paschal,504835,1946,n.a.,73,M,
Charles Galetto,504836,1951,n.a.,68,M,
Doctor Duane Bloom,504837,1933,07 Dec 2009,80,M,
Bruce Reuter,504838,1949,n.a.,70,M,
Rick Langley,504839,23 Nov 1948,n.a.,70,M,American
Elizabeth Scarbrough,504840,1958,n.a.,61,F,
Glynn Debter,504841,1935,n.a.,84,M,
Doctor Doug Arm,504843,1969,n.a.,50,M,
Robert Lowdermilk,504844,1937,n.a.,82,M,American
David Gibson,504845,1969,n.a.,50,M,
Doctor John Chapman,504846,1954,n.a.,65,M,
Rick Cochran Jr,504847,1962,n.a.,57,M,
Doctor Alexander Milstein,504848,1959,n.a.,60,M,
John Browne Jr,504849,n.a.,n.a.,,M,
Joel Porter,504850,14 Dec 1940,n.a.,78,M,American
Richard McLeer,504851,1965,n.a.,54,M,
John Lewis Jr,504852,1948,n.a.,71,M,
Veronica Dillon,504853,1949,n.a.,70,F,
Doctor Bennett Cotten Jr,504854,1954,24 Sep 2013,63,M,
Robert Baird Jr,504855,n.a.,n.a.,,M,
Kenneth Campbell,504856,n.a.,n.a.,,M,
Raj Sundaram,504857,1966,n.a.,53,M,
Doctor M Ching,504858,1946,n.a.,73,M,
Jane Sullivan,504859,1960,n.a.,59,F,
John Shepherd,504860,1938,n.a.,81,M,
Pat Frawley,504861,1951,n.a.,68,M,
John Wilder Sr,504862,03 Jun 1921,01 Jan 2010,92,M,American
Jonathan Barr,504863,1958,n.a.,61,M,
Joseph Catenacci,504864,1936,31 Oct 2010,78,M,
John Coger,504865,1950,n.a.,69,M,American
Mike Kostelnik Jr,504866,1943,n.a.,76,M,American
David Pilotte,504867,1958,n.a.,61,M,
Rick Von Pusch,504868,1961,n.a.,58,M,
Cam Lisio,504869,1954,n.a.,65,M,
Pierre Dupuis,504870,1944,n.a.,75,M,
Jay Ventulett Jr,504871,1949,n.a.,70,M,
Mark Brown,504872,1953,n.a.,66,M,American
Frank Rana,504873,n.a.,n.a.,,M,
Ed Wyse,504874,n.a.,n.a.,,M,
Celestina Giles,504875,1947,n.a.,72,F,
