name,name_id,dob,dod,age,gender,nationality
Joseph Pepe,870630,n.a.,n.a.,,M,
Cheri Decker,870631,n.a.,n.a.,,F,
Brian McBroom,870632,n.a.,n.a.,,M,
Marcia Vaughan,870633,n.a.,n.a.,,F,
Jim Kissler,870634,n.a.,n.a.,,M,
Linwood Branch III,870635,1956,n.a.,63,M,
Maria Gilman,870636,n.a.,n.a.,,F,
Amy Rafa,870637,n.a.,n.a.,,F,
Miller Slaughter,870638,1952,n.a.,67,M,
Tracy Klapwyk,870639,n.a.,n.a.,,F,
Keith Hamburg,870640,n.a.,n.a.,,M,
Torry McAlvain,870641,n.a.,n.a.,,M,
Kerry Hanson,870642,n.a.,n.a.,,F,
Bethany Russo,870643,n.a.,n.a.,,F,
Monte Drake,870644,n.a.,n.a.,,M,
Erik Henyon,870645,n.a.,n.a.,,M,
Theresa Bryant,870646,n.a.,n.a.,,F,
Jim Dati,870647,n.a.,n.a.,,M,
Doctor Bill Russell,870648,n.a.,n.a.,,M,
Don Hoyt,870649,n.a.,n.a.,,M,
Bob Thomas,870650,n.a.,n.a.,,M,
Karen Shafer,870651,n.a.,n.a.,,F,
Berkley Hudson,870652,n.a.,n.a.,,F,
Kevin Cosgrove,870653,10 Jan 1954,n.a.,65,M,American
Doctor Allen Bjergo,870654,n.a.,n.a.,,M,
Elwood Kleaver Jr,870655,1942,n.a.,77,M,
Darren Robertshaw,870656,n.a.,n.a.,,M,
Laal Shams,870657,n.a.,n.a.,,M,
Kim Ruggles,870658,n.a.,n.a.,,F,American
Dana Matukas,870659,n.a.,n.a.,,F,
Skip Crandall,870660,n.a.,n.a.,,M,
Daniel Watson,870662,n.a.,n.a.,,M,
R King,870663,n.a.,n.a.,,M,
Amanda Johnson,870664,n.a.,n.a.,,F,
Kele Wilson,870665,n.a.,n.a.,,M,
Todd Boothe,870666,n.a.,n.a.,,M,
Jennifer Ford,870667,n.a.,n.a.,,F,
Steve Shandobil,870668,n.a.,n.a.,,M,
John Stellmon,870669,n.a.,n.a.,,M,
Beth Oliphant,870670,n.a.,n.a.,,F,
Chad DeLong,870671,n.a.,n.a.,,M,
Ron Dennis,870672,n.a.,n.a.,,M,
Mike Fery,870673,n.a.,n.a.,,M,
Jessica Thompson,870674,n.a.,n.a.,,F,
Ryan Oster,870675,n.a.,n.a.,,M,
Alex Stall,870676,n.a.,n.a.,,M,
Melinda Rector,870678,n.a.,n.a.,,F,
Doctor Dave Shilling,870679,n.a.,n.a.,,M,
Rick O'Brien,870680,n.a.,n.a.,,M,
Yvonne Franks,870681,n.a.,n.a.,,F,
Brice Sloan,870682,n.a.,n.a.,,M,
K Davis,870683,n.a.,n.a.,,M,
Crystal Cummings,870684,n.a.,n.a.,,F,
Bill Ziegert,870685,n.a.,n.a.,,M,
Ann Stott,870686,n.a.,n.a.,,F,
Joseph Donnelly,870687,n.a.,n.a.,,M,
Jose Lopez,870688,n.a.,n.a.,,M,
Todd Davis,870689,n.a.,n.a.,,M,
Michael Dudley,870690,n.a.,n.a.,,M,
Doug Gorman,870691,n.a.,n.a.,,M,
Louis Eisenberg,870692,n.a.,n.a.,,M,
Bruce Stevens,870693,1973,n.a.,46,M,American
Joe Murgalo Jr,870694,n.a.,n.a.,,M,
Anita Zusman Eddy,870695,n.a.,n.a.,,F,
Karen Seeliger,870697,n.a.,n.a.,,F,
May Soth,870698,n.a.,n.a.,,F,
D Penn,870699,1962,n.a.,57,M,American
Jacqueline Vaughn,870700,n.a.,n.a.,,F,
Mike Rasch,870701,n.a.,n.a.,,M,
Kathy Smits,870702,n.a.,n.a.,,F,
Stephanie Nakasone,870703,n.a.,n.a.,,F,
Anne Klostermeier,870704,n.a.,n.a.,,F,
Yanell Guilln,870705,n.a.,n.a.,,F,
Kimberli Partlow,870706,n.a.,n.a.,,F,
Mark Edwards,870708,n.a.,n.a.,,M,
Liz Smith,870711,n.a.,n.a.,,F,
Linda Hisky,870712,n.a.,n.a.,,F,
Betty Koval,870713,n.a.,n.a.,,F,
Becky Hawkins,870714,n.a.,n.a.,,F,
Peggy Lemons,870715,n.a.,n.a.,,F,
Scott Richardson,870717,n.a.,n.a.,,M,
Mark Brown,870718,n.a.,n.a.,,M,
Dennis Curtis,870719,n.a.,n.a.,,M,
Steve Southard,870720,n.a.,n.a.,,M,
Diana Holmes,870721,n.a.,n.a.,,F,
Richard Atwill,870722,n.a.,n.a.,,M,
Ben Hubbard,870723,n.a.,n.a.,,M,
Pat Mousel,870724,n.a.,n.a.,,M,
Kristi Rose,870726,n.a.,n.a.,,F,
Alyssia Lee,870727,n.a.,n.a.,,F,
Gerald McCadd,870728,n.a.,n.a.,,M,
Cheryl Evanoff,870729,n.a.,n.a.,,F,
George Primm,870730,n.a.,n.a.,,M,
Sheila Seacat,870731,n.a.,n.a.,,F,
