name,name_id,dob,dod,age,gender,nationality
Julie Hamilton,1486989,n.a.,n.a.,,F,
Michael Fleming,1486991,n.a.,n.a.,,M,
Rob Palumbo,1486993,1966,n.a.,53,M,
Christina Noonan,1486994,1972,n.a.,47,F,
Britten Steiner,1486995,n.a.,n.a.,,F,
Jason Klein,1486997,n.a.,n.a.,,M,
Aenoi Kounlavong,1487000,n.a.,n.a.,,M,
Greg Williams,1487001,n.a.,n.a.,,M,
Dean Jacobson,1487002,Jul 1977,n.a.,42,M,American
Jason Kurtz,1487003,1968,n.a.,51,M,
Mark Spence,1487004,1968,n.a.,51,M,
Jim Stuckey,1487005,04 Dec 1957,n.a.,61,M,American
Sunil Tandon,1487007,1957,n.a.,62,M,
Rachel Spasser,1487008,n.a.,n.a.,,F,
Steve Lockard,1487009,n.a.,n.a.,,M,
Pat Talley Jr,1487010,03 Jul 1955,n.a.,64,M,American
Joe Savig,1487012,1977,n.a.,42,M,
Paula Schneider,1487013,n.a.,n.a.,,F,
Park Durrett,1487014,n.a.,n.a.,,M,
Matt Terrell,1487016,12 Oct 1966,n.a.,52,M,American
Maurice Hernandez,1487017,Jan 1981,n.a.,38,M,American
Adam Malinowski,1487018,n.a.,n.a.,,M,
Frank Trapp,1487020,27 Apr 1947,n.a.,72,M,American
Brian Wallace,1487023,28 Apr 1958,n.a.,61,M,Canadian
Clara Yee,1487024,n.a.,n.a.,,F,
Cal Wells,1487026,04 Dec 1954,n.a.,64,M,American
Don Whittemore,1487027,1960,n.a.,59,M,
William Heldfond,1487028,n.a.,n.a.,,M,
Jim Wyly III,1487029,20 Apr 1953,n.a.,66,M,
Nishant Patel,1487031,1982,n.a.,37,M,
Andrew Zbella,1487033,n.a.,n.a.,,M,
Michael Aft,1487034,1947,n.a.,72,M,
James Lee,1487035,n.a.,n.a.,,M,
Zach Sherburne,1487037,n.a.,n.a.,,M,
Mike Robertson,1487038,n.a.,n.a.,,M,
Doctor Bernie Schuurmans,1487040,1950,n.a.,69,M,
Acie Palmer,1487041,1956,n.a.,63,M,
Frank Song,1487042,n.a.,n.a.,,M,
Doctor Cotton Koch,1487043,n.a.,n.a.,,M,
