name,name_id,dob,dod,age,gender,nationality
John Bishar Jr,56171,22 Jan 1950,n.a.,69,M,American
Bobby Doxey,56172,1948,n.a.,71,M,
John Haran,56176,1950,n.a.,69,M,American
Robert Duncan,56177,1937,n.a.,82,M,American
Kamal Dua,56181,1959,n.a.,60,M,American
Scott Crum,56182,1956,n.a.,63,M,American
Adolfo Henriques,56187,1953,n.a.,66,M,American
Thomas Kiritsis,56191,1944,n.a.,75,M,American
Ralph Hake,56192,25 Jan 1949,n.a.,70,M,American
Doctor Robert Blattberg,56196,1942,n.a.,77,M,American
Alan Kennebeck,56197,21 Feb 1945,29 Dec 2013,72,M,American
Robert Hollweg,56201,15 Aug 1942,n.a.,76,M,American
Mike Russell,56202,1955,n.a.,64,M,American
Ken Glass,56206,1946,n.a.,73,M,
Steve Schenck,56207,1949,n.a.,70,M,American
Raymond Debbane,56211,1954,n.a.,65,M,American
John White Jr,56212,1948,n.a.,71,M,American
Jonas Fajgenbaum,56216,1972,n.a.,47,M,American
Benjamin Rawlins Jr,56217,1953,12 Sep 2000,51,M,American
Jim Lewis,56221,1950,n.a.,69,M,
Mike Starnes,56222,1945,n.a.,74,M,American
John Kelley Jr,56226,1943,n.a.,76,M,
Doctor Robert Waller,56227,Feb 1937,n.a.,82,M,American
George Cates,56231,1937,n.a.,82,M,American
Sam Bartholomew Jr,56232,06 Jul 1944,n.a.,75,M,American
Ann Sardini,56236,1950,n.a.,69,F,American
Mike Puskar,56237,1934,07 Oct 2011,81,M,
Jimmy Haslam III,56241,09 Mar 1954,n.a.,65,M,
Doctor Don Randel,56246,09 Dec 1940,n.a.,78,M,American
Dana Barnett,56247,1941,n.a.,78,M,American
Ralph Horn,56251,1940,n.a.,79,M,American
Philippe Amouyal,56256,1958,n.a.,61,M,American
Roger Foster,56257,1947,n.a.,72,M,American
Rod Jackson,56262,1941,n.a.,78,M,American
Bob Cline,56266,17 Jul 1937,n.a.,81,M,American
Joe Orgill III,56271,1937,n.a.,82,M,
Patricia Sunseri,56272,1939,n.a.,80,F,American
Bill Krippaehne Jr,56276,1951,n.a.,68,M,American
Bill Sansom,56281,1941,n.a.,78,M,American
Larry Delynn,56282,27 Aug 1924,09 May 2010,89,M,American
William Davis,56291,1942,n.a.,77,M,
Doug Leech,56292,1954,n.a.,65,M,
Trevor Fetter,56296,16 Jan 1960,n.a.,59,M,American
Clarence Todd,56297,1933,n.a.,86,M,
Phyllis Campbell,56301,1951,n.a.,68,F,American
Doctor Susan Bies,56306,05 May 1947,n.a.,72,F,American
Harry Johnson III,56311,1949,n.a.,70,M,American
Paul Skinner,56316,1948,n.a.,71,M,American
James Keen,56321,1950,n.a.,69,M,American
Sarah Meyerrose,56326,1954,n.a.,65,F,American
Norm Rice,56331,04 May 1943,n.a.,76,M,American
John O'Connor Jr,56336,1941,n.a.,78,M,American
Ramey Peru,56346,1955,n.a.,64,M,American
Elbert Thomas Jr,56351,1947,n.a.,72,M,American
Stephen Farber,56356,1970,n.a.,49,M,American
Luke Yancy III,56361,1949,n.a.,70,M,American
Charles Burkett,56366,1950,n.a.,69,M,American
Reynold Jennings,56371,Jul 1946,n.a.,73,M,American
Randy Smith,56376,1949,n.a.,70,M,American
Rod Pierson,56381,26 Dec 1947,n.a.,71,M,American
Jim Ruddy,56386,1949,n.a.,70,M,American
Scott Probasco Jr,56391,26 Nov 1928,n.a.,90,M,American
Randy Talbot,56396,1953,n.a.,66,M,American
Boh Dickey,56401,1945,n.a.,74,M,American
Bruce Allenbaugh,56411,1957,n.a.,62,M,American
Mike LaRocco,56416,1957,n.a.,62,M,American
Dale Lauer,56431,26 Mar 1946,n.a.,73,M,American
Allie Mysliwy,56436,1955,n.a.,64,M,American
Yomtov Senegor,56441,1959,n.a.,60,M,American
Herb Hilliard,56446,1947,n.a.,72,M,American
George Davis,56447,1944,n.a.,75,M,American
Jon Ward,56451,1954,n.a.,65,M,American
John Gotta,56452,1950,n.a.,69,M,
John Hamilton,56456,1949,n.a.,70,M,American
Steven Appleton,56457,1960,03 Feb 2012,56,M,American
Preston Henne,56461,1948,n.a.,71,M,American
Kipp Bedard,56462,1959,n.a.,60,M,American
Marty Mosby III,56466,1963,n.a.,56,M,American
Bob Donnelly Sr,56467,1939,2010,75,M,American
Joe Walker,56471,1954,n.a.,65,M,American
