name,name_id,dob,dod,age,gender,nationality
Brian Leslie,1329999,n.a.,n.a.,,M,
Ollie Guinan,1330000,n.a.,n.a.,,M,
Jonny Dyer,1330001,n.a.,n.a.,,M,
Tiffany Tran,1330003,n.a.,n.a.,,F,
Craig Scheffler,1330004,n.a.,n.a.,,M,
Doctor Dirk Robinson,1330005,n.a.,n.a.,,M,
Julie McCusker,1330006,n.a.,n.a.,,F,
Matt Wood,1330007,n.a.,n.a.,,M,
Leonard Stella,1330011,1961,n.a.,58,F,
Yehuda Kops,1330012,1954,n.a.,65,M,
Doctor Mark Raden,1330014,n.a.,n.a.,,M,
Kathleen Yosko,1330016,n.a.,n.a.,,F,
Geoff Alexander,1330017,n.a.,n.a.,,M,
Doctor Manish Gupta,1330018,n.a.,n.a.,,M,
Vess Bakalov,1330019,n.a.,n.a.,,M,
John Woodman,1330024,20 Mar 1955,n.a.,64,M,British
Dan Zaccardo,1330027,n.a.,n.a.,,M,
Doctor Mark Abelson,1330029,1945,n.a.,74,M,
Alicia Rolfe,1330031,1973,n.a.,46,F,
Kim Jeffery,1330032,1948,n.a.,71,M,
Matt Crenshaw,1330034,n.a.,n.a.,,M,
Dustin Cahill,1330035,n.a.,n.a.,,M,
Tom Lineen,1330036,1972,n.a.,47,M,
My Nguyen,1330037,1980,n.a.,39,F,
Larry Welch,1330038,n.a.,n.a.,,M,
Judson Riggs,1330039,n.a.,n.a.,,M,
Doctor Claire Pomeroy,1330041,1955,n.a.,64,F,
Mike Carter,1330043,n.a.,n.a.,,M,
John Herr,1330044,n.a.,n.a.,,M,
Spike Stevens,1330046,n.a.,n.a.,,M,
Howard Dickstein,1330047,n.a.,n.a.,,M,
Marie Hlavaty,1330048,1964,n.a.,55,F,
Mike Corbisiero,1330049,n.a.,n.a.,,M,
John Tharpe,1330050,n.a.,n.a.,,M,
Jim Barone,1330052,n.a.,n.a.,,M,
Paul Carousso,1330053,1968,n.a.,51,M,
Kevin Reid,1330054,n.a.,n.a.,,M,
Kim Marvin,1330055,n.a.,n.a.,,F,
Stan Porfido,1330057,n.a.,n.a.,,M,
Raymond Sobieski,1330058,1959,n.a.,60,M,
Don Whittington,1330061,n.a.,n.a.,,M,
Brian Voigt,1330063,n.a.,n.a.,,M,
Frank Vella,1330064,n.a.,n.a.,,M,
Mike Provenzano III,1330066,1972,n.a.,47,M,
Jerry Bruckheimer,1330068,21 Sep 1943,n.a.,75,M,American
Cal Ripken Jr,1330069,24 Aug 1960,n.a.,58,M,American
James Leder,1330070,n.a.,n.a.,,M,
Kevin Dattolico,1330071,n.a.,n.a.,,M,
Cindy Tallent,1330073,1958,n.a.,61,F,
Mary Flores,1330075,n.a.,n.a.,,F,
Shaw Chuang,1330076,n.a.,n.a.,,M,
Jeff Canouse,1330077,1974,n.a.,45,M,
J Lesher,1330078,n.a.,n.a.,,M,
Vince Lubsey,1330079,n.a.,n.a.,,M,
Tony Lopez,1330080,1977,n.a.,42,M,
Denise Kidd,1330081,n.a.,n.a.,,F,
George Carter,1330083,1959,n.a.,60,M,
Mark Biegger,1330084,26 Nov 1961,n.a.,57,M,American
Julio Nemeth,1330086,n.a.,n.a.,,M,
Alex Tosolini,1330087,23 Oct 1966,n.a.,52,M,
Vlatko Andonov,1330088,n.a.,n.a.,,M,
Matt Theurer,1330089,n.a.,n.a.,,M,
Matt Firor,1330090,n.a.,n.a.,,M,
Don Nelson,1330091,1962,n.a.,57,M,American
Jim Kaufold,1330093,n.a.,n.a.,,M,
Todd Hollenshead,1330094,n.a.,n.a.,,M,
Mike Olson,1330095,n.a.,n.a.,,M,
Sharon Mendy,1330096,n.a.,n.a.,,F,
Gregsie Leighton,1330097,n.a.,n.a.,,M,
Jacques Belin,1330098,1951,n.a.,68,M,
Pete Nicoletti,1330099,n.a.,n.a.,,M,
Jim Benham,1330100,1947,n.a.,72,M,
David Wickersham,1330101,n.a.,n.a.,,M,
John Carmack II,1330102,20 Aug 1970,n.a.,48,M,American
Michael Hoch,1330103,n.a.,n.a.,,M,
Jeff Johnson,1330105,n.a.,n.a.,,M,
Lisa Desmond,1330106,n.a.,n.a.,,F,
Tony Pino,1330107,n.a.,n.a.,,M,
Rich Vogel,1330108,n.a.,n.a.,,M,
Scot Brenton,1330109,n.a.,n.a.,,M,
Shinji Mikami,1330110,11 Aug 1965,n.a.,53,M,
Christopher Johnson,1330111,n.a.,n.a.,,M,
Donna Walters,1330112,n.a.,n.a.,,F,
Jerk Gustafsson,1330114,n.a.,n.a.,,M,
Doctor Eric Lefebvre,1330115,1963,n.a.,56,M,
Helen Jenkins,1330117,1963,n.a.,56,F,
Doctor Sean Dalziel,1330118,n.a.,n.a.,,M,
John McCaffrey,1330119,n.a.,n.a.,,M,
Jon Baksht,1330120,n.a.,n.a.,,M,
Martine Kraus,1330121,n.a.,n.a.,,F,
Marc Jacobs,1330122,n.a.,n.a.,,M,
Stacy Hayes,1330123,n.a.,n.a.,,M,
Carol Brosgart,1330124,1951,n.a.,68,F,
Luiz Vianna,1330125,n.a.,n.a.,,M,
Julian Lloyd,1330126,n.a.,n.a.,,M,
Doctor Peter French,1330127,n.a.,n.a.,,M,
Richard Knight,1330128,n.a.,n.a.,,M,
Tetsu Takahashi,1330130,n.a.,n.a.,,M,Japanese
David Rubin,1330132,n.a.,n.a.,,M,
Chris Luoma,1330133,n.a.,n.a.,,M,
John Jackoboice,1330134,n.a.,n.a.,,M,
Doctor Bob Kim,1330135,n.a.,n.a.,,M,
Mike Burkland,1330136,1963,n.a.,56,M,
Doctor Tony Lochtefeld,1330137,n.a.,n.a.,,M,
Tom Schollmeyer,1330138,n.a.,n.a.,,M,
Larry Leigh,1330139,n.a.,n.a.,,M,American
Rich Lievense,1330140,n.a.,n.a.,,M,
Parsu Nurani,1330141,n.a.,n.a.,,M,
Kevin McGahren-Clemens,1330142,n.a.,n.a.,,M,
John Merrill,1330144,n.a.,n.a.,,M,
K Gopalakrishnan,1330151,n.a.,n.a.,,M,
David Newman,1330156,n.a.,n.a.,,M,
Mike Paris,1330157,n.a.,n.a.,,M,
Randy Papadellis,1330158,1958,n.a.,61,M,
Jerry Scott,1330159,n.a.,n.a.,,M,
David Paskach,1330160,1957,n.a.,62,M,
Bob Sprotte,1330161,n.a.,n.a.,,M,
Jody Vanderwel,1330162,n.a.,n.a.,,F,American
Daniel Burkland,1330163,1964,n.a.,55,M,
William Poellmitz,1330166,n.a.,n.a.,,M,
Homero Salinas,1330167,n.a.,n.a.,,M,
Ashar Aziz,1330172,1959,n.a.,60,M,
Jack Qi,1330173,n.a.,n.a.,,M,
Bahman Mahbod,1330177,1959,n.a.,60,M,
Bob Romney,1330178,n.a.,n.a.,,M,
Tim Paulus,1330179,n.a.,n.a.,,M,
Mike Sheridan,1330181,n.a.,n.a.,,M,
Jeff Williams,1330182,1966,n.a.,53,M,
Julie Cullivan,1330183,n.a.,n.a.,,F,
Craig Martin,1330184,n.a.,n.a.,,M,
Ken Gonzalez,1330186,n.a.,n.a.,,M,
Carol Schwam,1330187,n.a.,n.a.,,F,
Manish Gupta,1330188,n.a.,n.a.,,M,
Arlene Thomas,1330189,n.a.,n.a.,,F,
Tony Kolish,1330191,1960,n.a.,59,M,
Barbara Massa,1330192,n.a.,n.a.,,F,
Dean Ealden,1330193,n.a.,n.a.,,M,
Sridhar Jayanthi,1330194,n.a.,n.a.,,M,
Dawn Song,1330195,1975,n.a.,44,F,
Tom Wardell,1330197,n.a.,n.a.,,M,
Gregg Christiansen,1330198,n.a.,n.a.,,M,
Rob Rachwald,1330199,n.a.,n.a.,,M,
Todd Eby,1330200,1971,n.a.,48,M,
Marissa Ramsey,1330203,n.a.,n.a.,,F,
Steve Holcombe,1330204,1957,n.a.,62,M,
John Gribbin,1330206,n.a.,n.a.,,M,
Doctor Aaron Burstein,1330207,n.a.,n.a.,,M,
Norm Mitry,1330208,n.a.,n.a.,,M,
Mike Ulven,1330209,n.a.,n.a.,,M,
Doctor Steve Liu,1330210,1957,n.a.,62,M,
Doctor Matthew Kostura,1330211,1956,n.a.,63,M,
Craig Hall,1330212,n.a.,n.a.,,M,
Eli Sherman,1330213,n.a.,n.a.,,M,
Scott Isgitt,1330214,n.a.,n.a.,,M,
Doctor Tony Lu,1330215,n.a.,n.a.,,M,
Doctor Carmen Valcarce-Aspegren,1330216,n.a.,n.a.,,F,
Nadia Lang,1330217,n.a.,n.a.,,F,
Chuck Stoddard,1330218,n.a.,n.a.,,M,
A Vernet,1330221,n.a.,n.a.,,M,
