name,name_id,dob,dod,age,gender,nationality
Austin Sun,270228,n.a.,n.a.,,M,American
Paul Tien,270229,n.a.,n.a.,,M,American
Jim Boyd,270230,1952,n.a.,67,M,American
Rick Brouillette Jr,270231,1951,n.a.,68,M,
Patrick Ang,270232,1960,n.a.,59,M,American
Doctor Malcolm Gillis,270233,28 Dec 1940,n.a.,78,M,American
Michael Magee Jr,270235,1955,n.a.,64,M,American
Robert Shuster,270236,1958,n.a.,61,M,American
David Reglin,270237,1960,n.a.,59,M,American
Mark Mellin,270238,1960,n.a.,59,M,American
Ron Tefteller,270239,1947,n.a.,72,M,American
Chuck Blixt,270240,18 Aug 1951,n.a.,67,M,American
James Maguire,270241,1952,n.a.,67,M,American
Dianne Blixt,270242,1959,n.a.,60,F,American
Richard Bogan,270243,1950,n.a.,69,M,American
Kenneth Lapiejko,270244,1949,n.a.,70,M,American
Michelle Gluck,270261,1960,n.a.,59,F,American
John Bellamy,270266,1962,n.a.,57,M,American
David Siegel,270267,1960,n.a.,59,M,American
Mack Good,270268,1951,n.a.,68,M,
Richard Powers,270269,1955,n.a.,64,M,
Michael Taylor,270270,1954,n.a.,65,M,
Joe Mantineo Sr,270271,1932,n.a.,87,M,American
Craig Tooman,270272,1966,n.a.,53,M,American
Captain Bill Pollock,270273,1957,n.a.,62,M,American
Rick Postle,270274,1949,n.a.,70,M,American
Donald Anderson,270275,1948,n.a.,71,M,
Bill Dickey,270276,1958,n.a.,61,M,
Erik Carlson,270277,1948,n.a.,71,M,
Larry Clynch,270278,1945,n.a.,74,M,American
Richard Gathright,270279,03 May 1954,n.a.,65,M,American
Bill Sikora,270280,1937,n.a.,82,M,American
Neal Cohen,270281,1962,n.a.,57,M,American
Doctor Steve Weitman,270282,1957,n.a.,62,M,American
Carl Karcher,270283,1950,n.a.,69,M,American
Alan Crellin,270284,1946,n.a.,73,M,American
Steve Schneider,270285,1956,n.a.,63,M,American
Randall Larson,270286,1957,n.a.,62,M,
Jerry Glass,270287,1955,n.a.,64,M,American
Fred Boutin,270288,14 Jul 1955,n.a.,64,M,
Nancy Underwood,270289,1952,26 Mar 2015,67,F,
Eric Larson,270290,1956,n.a.,63,M,American
Tim Ruane,270291,1965,n.a.,54,M,American
Tom Howlin,270292,1949,n.a.,70,M,American
Darrell Dubroc,270293,1961,n.a.,58,M,American
Gary Cohen,270294,1952,n.a.,67,M,American
Admiral Bud Flanagan,270295,1943,n.a.,76,M,American
Bill Moreton,270296,1959,n.a.,60,M,American
Ze'ev Shaked,270297,1946,n.a.,73,M,American
Catherine Powell,270298,1956,n.a.,63,F,American
Tom Howley,270299,1950,n.a.,69,M,American
Mike Kupstas,270300,1957,n.a.,62,M,
George Sanders,270301,1958,n.a.,61,M,American
Mike Dwyer,270302,1946,n.a.,73,M,American
Mark Segura,270303,1959,07 Oct 2006,51,M,American
Donald Courtney,270304,1955,n.a.,64,M,
Edward Beimfohr,270305,31 Dec 1932,n.a.,86,M,American
Greg Weaver,270306,1956,n.a.,63,M,American
John Maguire,270307,1966,n.a.,53,M,
Paul Grant,270308,1947,n.a.,72,M,American
Glenn Lyon,270309,1950,n.a.,69,M,
Annell Bay,620876,1955,n.a.,64,F,
Samuel Charlton III,270310,1946,n.a.,73,M,American
Carman Liuzzo,270311,1961,n.a.,58,M,
Bill Fontenot,270312,1963,n.a.,56,M,American
Scott Davis,270313,1963,n.a.,56,M,
The Hon. Carole Brookins,270314,1944,n.a.,75,F,American
Dilek Samil,270315,1955,n.a.,64,M,American
Mack Pridgen III,270316,1950,n.a.,69,M,
Robert Chadwick Jr,270317,25 May 1960,n.a.,59,M,American
Paul Twohig,270318,1954,n.a.,65,M,American
Mike Harris,270319,1949,n.a.,70,M,
Mark Borland,270320,1952,n.a.,67,M,
Mark Hood,270321,1953,n.a.,66,M,
Mary Tolan,270322,1961,n.a.,58,F,
Alwyn Rougier-Chapman,270323,1939,n.a.,80,M,American
Peter Griffin,270324,1945,n.a.,74,M,American
Edwin Morgens,270325,1941,n.a.,78,M,
Robert Culver,270326,1949,n.a.,70,M,American
Tim O'Reilly,270327,06 Jun 1954,n.a.,65,M,American
Ron James,270328,1951,n.a.,68,M,
Michael Nolan,270329,1960,n.a.,59,M,
Lois Clarke,270330,1945,n.a.,74,F,American
Doctor David Bronner,270331,22 Jan 1945,n.a.,74,M,American
Doctor Joseph Drozda Jr,270332,1946,n.a.,73,M,American
Brian Spanel,270333,1956,n.a.,63,M,American
Karey Witty,270334,1965,n.a.,54,F,American
Dan Paquin,270335,1964,n.a.,55,M,American
John Tadich,270336,1952,n.a.,67,M,American
Mark Greiner,270337,11 Jul 1951,n.a.,68,M,American
Catherine Halverson,270338,1949,n.a.,70,F,American
Mary O'Hara,270339,1950,n.a.,69,F,American
Rono Dutta,270340,1952,n.a.,67,M,American
David Steward,270341,1952,n.a.,67,M,American
Stephen Hanks,270342,1950,n.a.,69,M,American
Stephen Elop,270343,31 Dec 1963,n.a.,55,M,Canadian
Robert Rothberg,270344,1949,n.a.,70,M,American
Kevin Lynch,270345,1968,n.a.,51,M,American
Tom Weir,270346,1956,n.a.,63,M,
David Mendels,270347,1967,n.a.,52,M,American
Roland Silverio,270348,1948,n.a.,71,M,American
William Mallender,270349,1935,n.a.,84,M,American
Perry Hayes,270350,1956,n.a.,63,M,American
Brian Allum,270351,1958,n.a.,61,M,American
John Anderson,270352,1941,n.a.,78,M,American
Yvonne Jackson,270353,30 Jun 1949,n.a.,70,F,American
Dominic Gallello,270354,1955,n.a.,64,M,American
David Starr,270355,1951,n.a.,68,M,American
Culver Davis Jr,270356,1940,n.a.,79,M,American
Norm Meyrowitz,270357,1960,n.a.,59,M,American
Dennis Washington,270358,27 Jul 1934,n.a.,84,M,American
John McKenna Jr,270359,1968,n.a.,51,M,American
Maggie Jacobsen,270360,1941,05 Jan 2008,71,F,American
Hans Mirka,270362,1937,n.a.,82,M,
George Hempstead III,270363,1944,n.a.,75,M,American
Jim Simon Jr,270364,1948,n.a.,71,M,American
Michael Monaco,270365,1947,n.a.,72,M,American
Bill Stephens,270366,1943,09 Dec 2013,74,M,American
Bettina Whyte,270367,1949,n.a.,70,F,American
Jack Lushefski,270368,1955,n.a.,64,M,American
Mike D'Appolonia,270369,1949,n.a.,70,M,American
Pete Hanik,270370,1947,n.a.,72,M,American
Ambrose Schwallie,270372,1948,n.a.,71,M,American
David Vercollone,270373,1948,n.a.,71,M,American
Tim Dowdle,270374,1952,n.a.,67,M,American
G Williams,270375,1930,n.a.,89,M,American
Tom Zarges,270376,1948,n.a.,71,M,American
Charles Oliver Jr,270377,1944,n.a.,75,M,American
Steve Johnson,270378,1951,n.a.,68,M,American
Bill Carmean,270379,1953,n.a.,66,M,American
Marie Dreher,270380,1959,n.a.,60,F,American
James Kenny Jr,270386,24 Jul 1965,n.a.,53,M,Irish
Bill Brady Jr,270388,1961,n.a.,58,M,American
Tom Odle,270389,1959,n.a.,60,M,American
John Shaw,270390,1949,n.a.,70,M,American
Douglas Krause,270391,1957,n.a.,62,M,American
Donald Chow,270392,1951,n.a.,68,M,American
Brian Berube,270393,1962,n.a.,57,M,American
Paul Jones,270395,1947,n.a.,72,M,American
William Lewis,270396,1944,n.a.,75,M,American
Willlam Abraham,270398,1931,n.a.,88,M,
Michael Lai,270400,1951,n.a.,68,M,American
Bob Goodfriend,270401,1950,n.a.,69,M,American
Gerald Woodard,270402,1946,n.a.,73,M,
Robert Shallish Jr,270403,1949,n.a.,70,M,
Sandra Wong,270404,1954,n.a.,65,F,American
Bob Koppel,270405,1947,n.a.,72,M,American
Irwin Lowenstein,270406,1936,n.a.,83,M,American
Cheryl Turnbull,270407,1961,n.a.,58,F,American
John Blount,270408,1959,n.a.,60,M,American
Sam Furrow,270409,1941,n.a.,78,M,American
Lana Krauter,270410,1952,n.a.,67,F,American
Boaz Edan,270411,1959,n.a.,60,M,
Eugene Hovanec,270412,1952,n.a.,67,M,American
Dan Jonas,270413,31 Jan 1964,n.a.,55,M,American
Edward Carlin,270414,1941,n.a.,78,M,American
Mike Rouleau,270415,1959,n.a.,60,M,American
Max Jones,270416,1955,n.a.,64,M,American
David Mullins,270417,1952,n.a.,67,M,American
John Payne,270418,1950,n.a.,69,M,American
Nelson Armstrong Jr,270419,1940,n.a.,79,M,American
Harry Call,270420,1944,n.a.,75,M,American
Nicholas Vlahakis,270421,1948,n.a.,71,M,American
Richard Riker,270422,1955,n.a.,64,M,American
Tom Kelly Jr,270423,1945,n.a.,74,M,American
Jay Scussel,270424,1943,n.a.,76,M,American
Eric Rangen,270425,1956,n.a.,63,M,American
Gene Starr,270426,1946,n.a.,73,M,American
Mark DeYoung,270427,1959,n.a.,60,M,American
Chris Gardner,270429,1960,n.a.,59,M,American
Doctor Rafi Fried,270430,1963,n.a.,56,M,American
Neil Ciarfalia,270431,1948,n.a.,71,M,American
Meridith Sipek,270432,1945,n.a.,74,M,American
Paul Hayden,270433,26 Jul 1944,09 Aug 2006,66,M,American
Jeff Foote,270434,1961,n.a.,58,M,American
Ira Deyhimy,270435,1941,n.a.,78,M,American
A Powers,270436,1947,n.a.,72,M,American
Chip Fontenot,270437,1944,n.a.,75,M,American
John Sorte,270438,Jun 1947,n.a.,72,M,American
Pat Gorman,270439,1956,n.a.,63,F,
Michael Millhollan,270440,1944,n.a.,75,M,American
Neil Rappaport,270441,1946,n.a.,73,M,American
M Dwyer,270442,1949,n.a.,70,F,American
John Hudson,270443,1926,n.a.,93,M,American
F Merrill III,270444,1950,n.a.,69,M,American
Tom Ward,270445,1947,n.a.,72,M,
Paul Ross,270446,1936,n.a.,83,M,American
David Meek,270447,1955,n.a.,64,M,American
Bill Crumley,270448,1937,n.a.,82,M,American
Joan Amberg,270449,1962,n.a.,57,F,American
Lanny Bledsoe,270450,1937,n.a.,82,M,American
Lester Sears,270451,n.a.,n.a.,,M,American
Robert Dale,270452,n.a.,n.a.,,M,American
Daryl Zimmer,270453,1943,n.a.,76,M,American
Art Birkins,270454,n.a.,n.a.,,M,American
Tom Denison,270455,1962,n.a.,57,M,American
Michael Velsmid Jr,270456,1944,n.a.,75,M,American
Bruce Schwallie,270457,1955,n.a.,64,M,American
Terrance Oliver,270458,1949,n.a.,70,M,
Scott Drees,270459,1958,n.a.,61,M,American
Anthony Varrichio,270460,1947,n.a.,72,M,American
Mike Laddon,270461,1953,n.a.,66,M,American
Mike Landine,270462,1954,n.a.,65,M,
Ron Freydberg,270463,1960,n.a.,59,M,
Steve McCann,270464,1953,n.a.,66,M,American
Graeme Dell,270465,28 Apr 1966,n.a.,53,M,British
Mike Phillips,270473,26 Mar 1962,n.a.,57,M,British
Bill Rainey,270476,1947,n.a.,72,M,American
Mark Hernandez,270477,1960,n.a.,59,M,American
Terry Burnside,270478,1949,n.a.,70,M,American
Jim Hall,270479,1934,n.a.,85,M,American
Greg Wilson,270480,1969,n.a.,50,M,American
Rich Sneider,270481,1961,n.a.,58,M,
Doctor Bor-yeu Tsaur,270482,1956,n.a.,63,M,
C Wilson,270483,1952,n.a.,67,M,
Martin Bennett,270484,1951,n.a.,68,M,American
Doctor Hong Choi,270485,1952,n.a.,67,M,
Bill Gorin,270486,1958,n.a.,61,M,
Philip Danford,270487,1943,n.a.,76,M,American
Daily Hill,270488,1957,n.a.,62,M,
J Keen,270489,1952,n.a.,67,M,American
Jack Risenhoover II,270490,1966,n.a.,53,M,American
Ken Hawari,270491,1959,n.a.,60,M,American
Matthew Micci,270492,1957,n.a.,62,M,
Jim Miller,270493,1955,n.a.,64,M,American
Cathy Hemmer,270494,1959,n.a.,60,F,American
Rich Riazzi,270495,1955,n.a.,64,M,American
Teresa Covello,270496,1966,n.a.,53,F,
Paul Kolkmeyer,270497,1952,n.a.,67,M,
John Patton Jr,270498,1949,n.a.,70,M,American
G Berner,270499,1948,n.a.,71,M,
Judith Norton,270500,1944,n.a.,75,F,American
Orlo Jones,270501,1939,n.a.,80,M,American
John Erickson,270502,1949,n.a.,70,M,American
Deb Takes,270503,1950,n.a.,69,F,American
Barry Monti,270504,1949,n.a.,70,F,
Robert Stahman,270505,1946,n.a.,73,M,American
Matthew Zavracky,270506,1956,n.a.,63,M,American
Tom Daniel,270507,1961,n.a.,58,M,American
