name,name_id,company,company_id,in_board,in_supervisory,role,role_start_date,role_end_date
Jamie Johnson,1667516,University of Windsor,62800,No,No,Lecturer,,
Alyssa Atkins,1937530,University of Windsor,62800,No,No,Vice President,2012-04-01,2013-04-01
Graham Gow,1941091,University of Windsor,62800,No,No,Faculty Member,,
Keith Marlowe,1906830,University of Windsor,62800,No,No,Instructor,2009-09-01,2010-01-01
Ryan Hornby,2027467,University of Windsor,62800,No,No,Instructor,,
Nan Mattai,452736,University of Windsor,62800,No,No,Teacher,,
Ernie Csiszar,430008,University of Windsor,62800,No,No,Lecturer,1976-01-01,1982-01-01
Doctor Nanua Singh,2129347,University of Windsor,62800,No,No,Professor,1990-07-01,1992-12-01
Doctor Nanua Singh,2129347,University of Windsor,62800,No,No,Associate Professor,1988-01-01,1990-06-01
Doctor Nanua Singh,2129347,University of Windsor,62800,No,No,Visiting Faculty Member,1986-08-01,1987-07-01
Ian Katchin,2168104,University of Windsor,62800,No,No,Instructor,2017-01-01,2017-04-01
Doctor Jim Weese,2188024,University of Windsor,62800,No,No,Lecturer,1986-01-01,1987-01-01
Doctor Jim Weese,2188024,University of Windsor,62800,No,No,Assistant Professor,1987-01-01,1992-01-01
Doctor Jim Weese,2188024,University of Windsor,62800,No,No,Professor,1998-01-01,2000-01-01
Doctor Jim Weese,2188024,University of Windsor,62800,No,No,Director - Non-Brd,1986-01-01,1986-01-01
Doctor Jim Weese,2188024,University of Windsor,62800,No,No,Associate Professor,1992-01-01,1997-01-01
Jennie Massey,2188021,University of Windsor,62800,No,No,Administrative Officer,2006-09-01,2007-08-01
Doctor Jim Weese,2188024,University of Windsor,62800,No,No,Dean,2000-01-01,2004-01-01
Doctor Jim Weese,2188024,University of Windsor,62800,No,No,Director - Non-Brd,1997-01-01,1998-01-01
Jonathan Tong,2204197,University of Windsor,62800,No,No,Lecturer,2016-01-01,
Doctor Betsy Morgan,2165778,University of Wisconsin La Crosse,62813,No,No,Interim Provost,2015-06-01,2017-03-01
Doctor Betsy Morgan,2165778,University of Wisconsin La Crosse,62813,No,No,Provost,2017-03-01,
Kathy Lang,2116834,University of Wisconsin La Crosse,62813,No,No,Chief Informatics Officer,1999-07-01,2000-06-01
Dan Saftig,1910464,University of Wisconsin La Crosse,62813,No,No,Director - Sport,,
Doctor Shirley Weis,1072227,University of Wisconsin La Crosse,62813,No,No,Lecturer,,
Jay Mason,1330480,University of Wisconsin La Crosse,62813,No,No,Scholar,,
Aaron Garms,1492480,University of Wisconsin La Crosse,62813,No,No,Adjunct Professor,2005-08-01,2013-05-01
Professor Doctor Andrew Haynes,1014856,University of Wolverhampton,62818,No,No,Professor,1991-01-01,
Doctor Ralph Rogers,880366,University of Wolverhampton,62818,No,No,Research Fellow,,
David Carruthers,372850,University of Wolverhampton,62818,No,No,Visiting Lecturer,1995-08-01,2000-04-01
Mike Beatty,445268,University of Wyoming,62819,No,No,Professor,1980-01-01,1981-01-01
Doctor Jeff Storey,487567,University of Wyoming,62819,No,No,Faculty Member,,
Lt. Gen. Thad Wolfe,555652,University of Wyoming,62819,No,No,Interim CEO,,
Richard McGinity,503141,University of Wyoming,62819,No,No,President Emeritus,2016-05-13,
Richard McGinity,503141,University of Wyoming,62819,No,No,Professor,2007-07-01,2013-08-01
Richard McGinity,503141,University of Wyoming,62819,No,No,Interim President,2013-12-06,2014-01-17
Richard McGinity,503141,University of Wyoming,62819,No,No,President,2014-01-17,2016-05-13
Richard McGinity,503141,University of Wyoming,62819,No,No,Interim VP,2013-08-01,2013-12-01
The Hon. Dave Freudenthal,508112,University of Wyoming,62819,No,No,Professor,,
Doctor Tony Hines,220584,University of Wyoming,62819,No,No,Various Positions,1980-01-01,1983-01-01
Alan Hirschfield,141606,University of Wyoming,62819,No,No,Lecturer,,
