name,name_id,company,company_id,in_board,in_supervisory,role,role_start_date,role_end_date
Trey Seck,1792559,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Director - Solutions,2012-04-01,2014-10-01
Alan Manuel,1803895,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Vice President - Services,2013-01-01,2016-05-01
Robb Kaufmann,1791854,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Executive,2002-02-01,2009-08-01
Lisa Welch,1801016,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
Doctor Karen Liu,1796661,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Staff Assistant,1988-10-01,1997-01-01
Jeff Kuester,1799494,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,1986-09-01,1990-01-01
Padma Duvvuri,1800643,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Engineer,1992-01-01,1994-01-01
Brad Taylor,1800552,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
George Linscott,1801034,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Programmer,1984-01-01,1989-06-01
Doctor Vijay Balasubramaniyan,1799546,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Engineer,2006-05-01,2007-08-01
David Nelli,1796638,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Area Manager,1985-01-01,1992-01-01
Doctor Vijay Balasubramaniyan,1799546,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Research & Development Engineer,2010-05-01,2010-08-01
Gary Meshell,1800314,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Global Sales Leader,2017-01-01,2019-03-01
Russ Cobb,1803878,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,2001-05-01,2003-12-01
