company_id,university_id,company,university,n_grad,company_lat,company_lng,university_lat,university_lng
1802,63013,AMERICAN EAGLE OUTFITTERS INC,Harvard Business School,1,40.4268963,-79.9634109,42.3655147,-71.1221412
1809,63013,AMERICAN ELECTRIC POWER CO INC,Harvard Business School,1,39.9650383,-83.0064261,42.3655147,-71.1221412
1815,63013,AMERICAN EXPRESS CO,Harvard Business School,2,40.7138829,-74.0146871,42.3655147,-71.1221412
1822,63013,AMERICAN FINANCIAL GROUP INC,Harvard Business School,1,39.0997439,-84.5072255,42.3655147,-71.1221412
1841,63013,TIVITY HEALTH INC (Healthways Inc prior to 01/2017),Harvard Business School,1,35.9451512,-86.8081066,42.3655147,-71.1221412
1856,63013,AMERICAN INTERNATIONAL GROUP (AIG) INC,Harvard Business School,1,40.7063657,-74.0051548,42.3655147,-71.1221412
1960,63013,AMERICAN VANGUARD CORP,Harvard Business School,1,33.6704415,-117.8623243,42.3655147,-71.1221412
1970,63013,HESS CORP (Amerada Hess prior to 05/2006),Harvard Business School,2,40.7579754,-73.9823192,42.3655147,-71.1221412
2043,63013,AMERISOURCEBERGEN CORPORATION,Harvard Business School,1,40.0686697,-75.4683256,42.3655147,-71.1221412
2048,63013,TD AMERITRADE HOLDING CORP (Ameritrade Hldg Co prior to 01/2006),Harvard Business School,2,41.2599735,-96.0834689,42.3655147,-71.1221412
2068,63013,AMGEN INC,Harvard Business School,1,34.192136,-118.919477,42.3655147,-71.1221412
2086,63013,AMN HEALTHCARE SERVICES INC,Harvard Business School,1,32.943963,-117.240552,42.3655147,-71.1221412
2100,63013,AMPHENOL CORP,Harvard Business School,2,41.4607747,-72.8330564,42.3655147,-71.1221412
2129,63013,INVESCO LTD (Invesco PLC prior to 12/2007),Harvard Business School,2,33.797492,-84.3895717,42.3655147,-71.1221412
2145,63013,ANALOG DEVICES INC,Harvard Business School,1,42.21113,-71.18134,42.3655147,-71.1221412
2234,63013,ANIKA THERAPEUTICS INC,Harvard Business School,3,42.4803294,-71.2663544,42.3655147,-71.1221412
2240,63013,ANIXTER INTERNATIONAL INC,Harvard Business School,1,42.097682,-87.8233018,42.3655147,-71.1221412
2256,63013,HACKETT GROUP INC (Answerthink Inc prior to 01/2008),Harvard Business School,1,25.7636109,-80.1891193,42.3655147,-71.1221412
2257,63013,ANSYS INC,Harvard Business School,1,40.2718234,-80.166319,42.3655147,-71.1221412
2355,63013,APPLE INC (Apple Computer Inc prior to 01/2007),Harvard Business School,1,37.3327177,-122.0053293,42.3655147,-71.1221412
2411,63013,APTARGROUP INC,Harvard Business School,1,42.2349115,-88.3006549,42.3655147,-71.1221412
2447,63013,TRECORA RESOURCES INC (Arabian American Development Co prior to 06/2014),Harvard Business School,1,29.5990048,-95.6286271,42.3655147,-71.1221412
2519,63013,ARENA PHARMACEUTICALS INC,Harvard Business School,1,32.8891148,-117.1846507,42.3655147,-71.1221412
2597,63013,ARMSTRONG WORLD INDUSTRIES INC,Harvard Business School,2,40.0368051,-76.3719967,42.3655147,-71.1221412
2621,63013,ARROW ELECTRONICS INC,Harvard Business School,2,39.5814924,-104.8822226,42.3655147,-71.1221412
2949,63013,ATLAS AIR WORLDWIDE HOLDINGS INC,Harvard Business School,1,41.0167566,-73.7111992,42.3655147,-71.1221412
2963,63013,ATMOS ENERGY CORP,Harvard Business School,1,32.922216,-96.8181014,42.3655147,-71.1221412
3101,63013,AUTOMATIC DATA PROCESSING (ADP) INC,Harvard Business School,2,40.8155809,-74.31007,42.3655147,-71.1221412
3118,63013,AUTODESK INC,Harvard Business School,1,38.0054016,-122.530873,42.3655147,-71.1221412
3143,63013,AUTONATION INC,Harvard Business School,2,26.1200646,-80.1441231,42.3655147,-71.1221412
3154,63013,AUTOZONE INC,Harvard Business School,2,35.1420009,-90.0561333,42.3655147,-71.1221412
3169,63013,AVALONBAY COMMUNITIES INC,Harvard Business School,1,38.8787988,-77.1106409,42.3655147,-71.1221412
3210,63013,AVERY DENNISON CORP,Harvard Business School,1,34.1570641,-118.2563626,42.3655147,-71.1221412
3248,63013,AVNET INC,Harvard Business School,1,33.4274752,-111.9800088,42.3655147,-71.1221412
3415,63013,BAKER HUGHES A GE CO (BHGE) (Baker Hughes Inc prior to 07/2017),Harvard Business School,3,29.9684685,-95.3650862,42.3655147,-71.1221412
3439,63013,BALL CORP,Harvard Business School,1,39.9117473,-105.0996988,42.3655147,-71.1221412
3594,63013,BARNES GROUP INC,Harvard Business School,1,41.6705843,-72.9430563,42.3655147,-71.1221412
3684,63013,BAXTER INTERNATIONAL INC,Harvard Business School,1,42.1593374,-87.8793282,42.3655147,-71.1221412
3897,63013,BEAZER HOMES USA INC,Harvard Business School,1,33.9343834,-84.3544514,42.3655147,-71.1221412
4080,63013,BERKSHIRE HATHAWAY INC,Harvard Business School,1,41.2571596,-95.965497,42.3655147,-71.1221412
4118,63013,BEST BUY CO INC,Harvard Business School,2,44.8645052,-93.305217,42.3655147,-71.1221412
4504,63013,BANK OF AMERICA CORP,Harvard Business School,3,35.2273417,-80.8419168,42.3655147,-71.1221412
4584,63013,BLACKROCK INC,Harvard Business School,1,40.7592391,-73.9735483,42.3655147,-71.1221412
4753,63013,BOK FINANCIAL CORP,Harvard Business School,1,36.1532731,-95.9899502,42.3655147,-71.1221412
4839,63013,BORGWARNER INC,Harvard Business School,1,42.6458403,-83.2108611,42.3655147,-71.1221412
4855,63013,BOSTON BEER CO INC,Harvard Business School,3,42.3442688,-71.0305676,42.3655147,-71.1221412
4862,63013,BOSTON PRIVATE FINANCIAL HLDGS INC (Boston Private Bank prior to 05/1998),Harvard Business School,3,42.3565143,-71.0558474,42.3655147,-71.1221412
4863,63013,BOSTON PROPERTIES INC,Harvard Business School,2,42.3473912,-71.0820284,42.3655147,-71.1221412
4865,63013,BOSTON SCIENTIFIC CORP,Harvard Business School,3,42.3611381,-71.5614533,42.3655147,-71.1221412
5104,63013,BRINKER INTERNATIONAL INC,Harvard Business School,1,32.9239341,-96.7874098,42.3655147,-71.1221412
5191,63013,BROOKLINE BANCORP INC,Harvard Business School,1,42.3483312,-71.0737797,42.3655147,-71.1221412
5204,63013,BROWN & BROWN INC (Poe & Brown Inc prior to 03/1999),Harvard Business School,1,29.2079416,-81.0217059,42.3655147,-71.1221412
5207,63013,CALERES INC (Brown Shoe Company Inc prior to 05/2015),Harvard Business School,1,38.6525531,-90.3471117,42.3655147,-71.1221412
5210,63013,BROWN FORMAN CORP,Harvard Business School,3,38.244955,-85.7837243,42.3655147,-71.1221412
5218,63013,BRUKER CORP,Harvard Business School,1,42.5269413,-71.2659832,42.3655147,-71.1221412
5227,63013,BRUNSWICK CORP,Harvard Business School,2,42.2421982,-87.9039804,42.3655147,-71.1221412
