university,university_id
Institute of Chartered Accountants in Ireland (ICAI),37538
Irish Tax Institute (ITI),1885187
University of Bradford,62197
University of Surrey,62712
Institute of Actuaries (Ceased Trading 08/2010),36361
Pensions Management Institute,64906
Universidad del Pas Vasco (University of the Basque Country),62184
IESE Business School Universidad de Navarra (Instituto de Estudios Superiores de la Empresa),63391
Chartered Insurance Institute (CII) (UK),36357
Universitat St Gallen (HSG) (University of St Gallen),62681
City University of New York (CUNY),60372
New York City Public Schools,45063
University of Manchester,62441
Georgia Institute of Technology (GIT),60751
Georgia State University (GSU),60755
Jesus College Cambridge University,63855
University of Birmingham,62192
American Institute of Chemical Engineers (AIChE),64126
University of the Witwatersrand,489153
University of KwaZulu-Natal,955887
Edmonton County Grammar School,65228
Phillips Academy Andover,124882
Seattle University,61811
University of San Francisco,62648
University of Bath,62185
Bucknell University,60229
Rensselaer Polytechnic Institute (RPI),61687
Northwestern University,61494
University of Phoenix,94081
University of Delaware,79387
Westminster College London,63471
Missouri State University (Southwest Missouri State University prior to 08/2005),61890
Institut des Actuaires Franais (IAF) (French Actuarial Institute),63038
University of Paris VII,876919
Association for Operations Management (APICS),486450
Lean Six Sigma Academy LLC (LSSA),1910838
Durham University,45641
University at Albany State University of New York (State University of New York at Albany (SUNYA)),875874
Bronx High School of Science (The),1216180
University College Dublin (UCD),62256
Blackrock College Dublin,63216
St Mary's College Dundalk,69538
Queens College City University of New York,79873
University of Oregon,62552
Capital University,79482
Louisiana Tech University,256182
Trinity College University of Dublin,62090
Magdalen College Oxford University,43707
University of North Carolina Kenan Flagler Business School,82925
Babson College,60120
Husson University,1660774
University of Minnesota,62475
Darden School of Business University of Virginia (Formerly known as Colgate Darden School of Business University of Virginia),53191
Clare College Cambridge University,64444
Colorado School of Mines (CSM),60430
University of Connecticut,62265
Lafayette College,61118
University of California Davis,62216
University of Natal,62507
Middlebury College,61284
University of Nottingham,625151
Handelshjskolen i Kbenhavn (Copenhagen Business School),63304
University of Melbourne,62463
University of Edinburgh,60610
Columbia Law School,64891
University College London (UCL),62247
University of Arizona (UOA),62155
University of Wisconsin,63062
New York University School of Law,574794
University of Oklahoma,62549
Albert Einstein College of Medicine of Yeshiva University,41987
Brooklyn College,60220
Regis College,96432
Ryerson University (Ryerson Polytechnic University prior to 2002),590384
Charles University,604150
Universit degli Studi di Torino (UNITO) (University of Turin),63151
Kbenhavns Universitet (University of Copenhagen),62266
Copenhagen School of Economics and Political Science,64606
St Catharines College Cambridge University,64231
National University of Singapore (The),61399
University of Virginia School of Law,77982
Williams College,62961
Columbia College Columbia University,60432
Taunton School,64094
Slough College,69583
University of Chicago Law School,1283365
School of International and Public Affairs (SIPA) Columbia University,660913
Georgetown University,60750
Faculty of Medicine-Paris,63518
Royal Society of Chemistry (RSC) (UK),38209
University of Hull,62362
Universit degli Studi di Genova (University of Genoa),73081
Emory University,60627
University of North Carolina Chapel Hill,62533
Copenhagen College of Pharmacy,64735
Manchester Business School,63133
University of Bristol,64921
Sidney Sussex College Cambridge University,65134
Haileybury College,64299
Chalmers Tekniska Hgskola (Chalmers University of Technology),60326
State University of New York (SUNY),61939
Uppsala Universitet (Uppsala University),63004
Stockholms Universitet (Stockholm University),61961
University of Kentucky,62389
Chartered Professional Accountants of Canada (CPA Canada),2017359
Carleton University,60283
Brandeis University,60203
University of Portsmouth,62605
School of Law (The) University of Bristol,1261191
Haslam College of Business University of Tennessee,2376813
University of Memphis (UoM),97372
University of Hartford,62350
Universidad Complutense de Madrid (Complutense University of Madrid) (UCM),62263
University of Baltimore,99817
University of Redlands,79746
UCLA John E Anderson Graduate School of Management,1244768
Illinois Institute of Technology (IIT),60904
Gteborgs Universitet (University of Gothenburg),63245
Trinity College University of Toronto,1584447
Toronto CFA Society (Toronto Society of Financial Analysts prior to 06/2005),564347
Institute of Corporate Directors (ICD),664466
Wilfrid Laurier University,256587
Tufts University,62097
Warsaw School of Economics (Main School of Planning and Statistics prior to 04/1991),62886
University of Maryland College Park,62449
Haverford College,60834
Texas College,646942
University of Pennsylvania Law School,74077
Eidgenssische Technische Hochschule Zrich (ETH) (Swiss Federal Institute of Technology Zurich),462457
Northeastern University,61472
Bentley University (Bentley College prior to 10/2008),60157
New York Institute of Finance (NYIF),261252
Malvern College,43146
Saint Mary's College of California,61758
University of Mount Union (Formerly known as Mount Union College),1793362
Arkansas Tech University,643649
Worcester College Oxford University,64915
Northwest Polytechnic,63320
Albion College,60026
York University (Canada),64608
Danmarks Tekniske Universitet (Technical University of Denmark),62009
Winchester College,63156
American Graduate School of International Management (Thunderbird),44551
Technische Universitt Mnchen (Technical University of Munich),62028
Chartered Institute of Taxation (CIOT) (UK),37889
Loughborough University,64445
University of Detroit,62278
DePaul University,60499
Illinois State University,60905
Wesleyan University,62908
City College of New York (CCNY),60368
Ampleforth College,63211
University of California Berkeley,62215
Chartered Management Institute (CMI) (UK),36359
Columbia University College of Physicians and Surgeons (CUCPS),116791
Universit Paris-Dauphine Paris (Paris-Dauphine University),57519
Williams College United States,2034046
St John's College Annapolis,97072
Southern Methodist University Dedman School of Law,1584273
University of Illinois Urbana-Champaign (UIUC),77782
Universidad Politcnica de Madrid (Polytechnic University of Madrid),44397
Boston University,60195
cole Suprieure des Sciences conomiques et Commerciales (ESSEC Business School),64829
Bucerius WHU Master of Law and Business,1195120
Universitt zu Kln (University of Cologne),63055
University of St Gallen Graduate School of Business Administration (HSG),63494
University of Toronto,62752
American Institute of Certified Management Accountants (AICMA),90217
University of Denver,62276
College of Engineering University of Texas at Austin,572567
Yale Law School,63066
Villanova University,62858
Brigham Young University,60212
Colorado State University,60431
Centro Universitrio da FEI,1061074
Centro Universitario Sant'Anna,1609533
Universit degli Studi di Roma La Sapienza (La Sapienza University of Rome),62703
University of Colorado,63056
Acton Technical College London University,63368
Institution of Mechanical Engineers (IMechE) (UK),42529
Methodist College Belfast,64441
Christ's College Cambridge University,63404
University of Iowa College of Law,246437
Wharton International Forum,63548
Institut Europeen d'Administration des Affaires (INSEAD) (European Institute of Business Administration),60651
Carnegie Mellon University,41519
World Economic Forum (WEF),37330
Lunds Universitet (Lund University),61193
Helsingborg Technical College,2147214
Social School of Barcelona,64693
Harvard School of Public Health,63160
Exeter College Oxford University,63522
John King Fairbank Center for Chinese Studies,1872407
Forest School,65366
Higher Technical School of Industrial Engineering Madrid,63555
Universitt Wien (University of Vienna),62775
University of South Alabama,422673
School of Hotel Administration (SHA) Cornell University,662427
Association of Chartered Certified Accountants (ACCA) (UK),36352
Lancaster University,61127
Franklin & Marshall College,60710
Georgetown University School of Medicine,1221170
Rutgers School of Law,99907
Hotchkiss School,80489
Manhattan College,61218
Heriot-Watt University,43366
Trinity College Oxford University,63637
Woodrow Wilson School of Public and International Affairs Princeton University,79060
General Theological Seminary,566075
Bellshill Academy,63562
Bell College,63563
Wirtschaftsuniversitt Wien (Vienna University of Economics and Business Administration),643463
Universiteit Utrecht (Utrecht University),62835
Johns Hopkins University,61026
Justus Liebig Universitt Gieen (Justus Liebig University of Giessen),62337
Chartered Institute of Bankers in Scotland (CIOBS),36840
Daniel Stewart's College,68033
Western Illinois University,63488
University of Arkansas,76399
University of Glasgow,60760
cole Suprieure d'Optique (SupOptique),64993
cole Nationale Superieure d'Arts et Metiers (ENSAM),60579
Delft Technical University,592160
Oklahoma State University,61531
California State University Northridge (Formerly known as San Fernando Valley State College),60261
University of Pittsburgh,62593
Greenbrier Military School,490281
Duquesne University,60549
University of Pittsburgh Law School,63372
Institut des Sciences Politiques de Paris,576184
University of South Florida (USF),62670
American Institute for Chartered Property Casualty Underwriters (AICPCU),44574
Xavier University,73904
University of Michigan Law School,75652
The Louvain School of Management (IAG) at Louvain-La-Neuve,64750
Kent State University,61063
University of Akron,62134
Universit de Lige (University of Lige),62418
University of Aix-en-Provence,64768
Institut d'Administration des Enterprises (IAE),70780
Illinois Wesleyan University,60906
Brussels Business School (ICHEC),261906
University of Wales Cardiff,62783
Southern Illinois University,61879
Institution of Civil Engineers (ICE) (UK),49891
